Area,Au [at.%],Ir [at.%],Rh [at.%]
1,38.51,52.79,8.7
2,38.21,52.67,9.12
3,38.48,51.37,10.15
4,38.0,50.55,11.45
5,38.19,49.96,11.85
6,37.04,49.93,13.03
7,37.5,48.69,13.81
8,37.72,47.57,14.71
9,37.99,46.13,15.87
10,37.14,45.66,17.2
11,37.2,44.34,18.46
12,41.84,49.68,8.48
13,41.64,49.3,9.06
14,41.34,48.64,10.02
15,41.49,48.03,10.49
16,41.33,47.21,11.46
17,40.61,47.14,12.25
18,41.24,45.39,13.36
19,40.63,45.12,14.25
20,40.62,44.01,15.37
21,40.42,43.02,16.56
22,40.31,41.7,17.99
23,39.11,41.37,19.52
24,38.71,40.48,20.81
25,45.51,46.47,8.02
26,45.53,45.63,8.85
27,45.59,44.91,9.5
28,44.4,45.24,10.37
29,45.04,44.46,10.49
30,43.95,44.3,11.75
31,44.0,43.46,12.54
32,43.64,42.64,13.72
33,42.39,42.85,14.76
34,43.65,40.4,15.94
35,42.92,39.89,17.18
36,41.86,39.34,18.8
37,41.39,37.86,20.75
38,41.45,36.55,22.0
39,40.81,35.94,23.24
40,49.05,43.62,7.33
41,48.76,43.14,8.1
42,48.45,42.71,8.84
43,48.57,41.7,9.73
44,48.2,41.69,10.11
45,48.08,40.74,11.18
46,47.17,40.89,11.93
47,46.59,40.31,13.09
48,46.31,39.31,14.38
49,46.19,38.52,15.28
50,45.06,38.06,16.87
51,45.04,36.99,17.97
52,45.15,35.55,19.3
53,43.97,34.71,21.32
54,42.96,34.53,22.5
55,42.65,32.9,24.45
56,41.72,32.41,25.87
57,53.32,39.43,7.25
58,52.03,40.16,7.81
59,52.64,38.92,8.44
60,52.67,38.48,8.85
61,51.62,38.45,9.93
62,51.22,38.21,10.57
63,50.87,37.7,11.43
64,50.78,36.79,12.43
65,50.27,36.0,13.73
66,49.15,35.74,15.11
67,48.74,35.21,16.05
68,48.08,34.48,17.44
69,47.56,33.72,18.72
70,46.8,33.32,19.88
71,46.82,31.86,21.32
72,45.24,31.61,23.15
73,44.65,30.33,25.02
74,43.91,29.0,27.08
75,42.48,28.56,28.96
76,56.68,35.71,7.61
77,55.95,36.24,7.81
78,56.02,35.35,8.63
79,54.9,36.0,9.1
80,55.48,34.77,9.75
81,54.45,35.05,10.5
82,54.1,34.22,11.68
83,53.64,33.8,12.56
84,52.84,33.44,13.72
85,52.59,32.61,14.8
86,51.38,32.41,16.21
87,50.87,31.85,17.28
88,49.85,30.9,19.24
89,49.27,29.9,20.83
90,48.56,29.43,22.01
91,47.86,28.31,23.83
92,46.97,27.57,25.46
93,46.46,26.42,27.12
94,44.44,25.51,30.05
95,60.31,32.72,6.97
96,59.75,32.91,7.34
97,60.01,32.26,7.73
98,58.88,32.49,8.63
99,58.52,32.29,9.19
100,58.5,31.49,10.01
101,58.04,31.33,10.63
102,56.97,31.34,11.69
103,56.26,30.94,12.8
104,55.29,30.83,13.88
105,54.42,30.17,15.41
106,54.82,29.05,16.13
107,53.33,28.55,18.12
108,52.91,27.98,19.11
109,51.62,27.67,20.71
110,50.39,26.34,23.27
111,49.72,25.95,24.33
112,48.78,25.0,26.22
113,47.22,24.54,28.23
114,46.17,23.45,30.38
115,44.51,23.1,32.39
116,63.82,29.19,6.99
117,63.18,29.21,7.61
118,62.65,29.18,8.17
119,62.32,29.14,8.54
120,61.68,29.25,9.07
121,61.34,28.68,9.98
122,60.98,28.2,10.82
123,60.2,27.94,11.86
124,59.24,27.69,13.07
125,58.95,27.24,13.81
126,57.43,27.26,15.31
127,56.93,26.26,16.81
128,55.75,25.98,18.27
129,55.57,24.9,19.53
130,54.09,24.8,21.11
131,52.56,24.22,23.22
132,52.15,23.25,24.6
133,50.95,22.42,26.63
134,48.88,21.94,29.17
135,47.95,21.49,30.56
136,46.32,20.46,33.21
137,67.41,25.72,6.87
138,66.82,25.9,7.28
