Area,Au [at.%],Ir [at.%],Rh [at.%]
1,3.89,91.99,4.12
2,4.32,90.94,4.74
3,4.29,90.42,5.29
4,4.77,89.46,5.77
5,5.01,88.77,6.22
6,4.99,87.94,7.07
7,5.39,86.82,7.79
8,5.51,85.73,8.76
9,5.5,84.6,9.9
10,6.21,83.23,10.56
11,5.98,82.35,11.67
12,4.61,91.06,4.33
13,4.97,90.36,4.67
14,5.42,89.38,5.2
15,5.34,89.37,5.29
16,5.51,88.22,6.27
17,5.88,86.96,7.16
18,6.12,85.72,8.16
19,5.67,85.5,8.83
20,6.71,83.59,9.7
21,6.42,82.87,10.71
22,6.16,82.17,11.67
23,7.0,80.29,12.71
24,6.62,78.95,14.43
25,5.73,89.94,4.33
26,6.15,89.08,4.77
27,5.77,89.14,5.09
28,6.35,88.05,5.6
29,6.68,87.18,6.14
30,6.61,86.21,7.18
31,6.9,85.44,7.66
32,6.86,84.64,8.5
33,7.3,83.38,9.32
34,7.19,82.19,10.62
35,7.88,80.76,11.36
36,6.97,79.89,13.14
37,7.9,78.37,13.73
38,7.81,76.94,15.25
39,8.04,74.76,17.2
40,7.17,88.68,4.15
41,7.05,88.34,4.61
42,7.14,87.87,4.99
43,7.43,87.07,5.5
44,6.99,86.87,6.14
45,7.71,85.61,6.68
46,7.37,85.04,7.59
47,7.92,83.7,8.38
48,8.66,82.17,9.17
49,8.36,81.36,10.28
50,8.29,80.38,11.33
51,8.63,78.89,12.48
52,8.71,77.38,13.91
53,8.96,75.75,15.29
54,8.65,74.55,16.8
55,9.05,72.45,18.5
56,9.09,70.68,20.23
57,8.65,87.34,4.01
58,8.84,86.79,4.37
59,8.59,86.24,5.17
60,8.43,86.02,5.55
61,8.67,85.35,5.98
62,8.79,84.51,6.7
63,8.96,83.59,7.45
64,9.24,82.68,8.08
65,9.03,81.87,9.1
66,9.61,80.26,10.13
67,9.74,78.85,11.41
68,10.05,77.75,12.2
69,9.91,76.49,13.6
70,10.43,74.85,14.72
71,9.83,73.64,16.53
72,9.53,72.2,18.27
73,10.25,70.2,19.55
74,10.06,68.03,21.91
75,9.75,66.5,23.75
76,9.68,85.69,4.63
77,10.53,84.45,5.02
78,10.32,84.29,5.39
79,10.37,83.55,6.08
80,10.04,83.27,6.69
81,10.65,82.19,7.16
82,10.35,81.44,8.21
83,10.75,80.47,8.78
84,10.59,79.53,9.88
85,10.92,78.1,10.98
86,11.39,76.67,11.94
87,10.85,75.87,13.28
88,11.28,74.38,14.34
89,11.39,72.58,16.03
90,11.12,71.31,17.57
91,11.01,69.41,19.58
92,11.2,67.18,21.62
93,11.28,65.89,22.83
94,10.7,63.94,25.36
95,12.09,83.48,4.43
96,11.76,83.42,4.82
97,11.84,82.7,5.46
98,11.57,82.27,6.16
99,12.13,81.36,6.51
100,11.75,81.13,7.12
101,11.7,80.18,8.12
102,12.28,79.01,8.71
103,12.76,77.57,9.67
104,12.4,76.78,10.82
105,12.07,75.83,12.1
106,12.34,74.36,13.3
107,12.21,73.26,14.53
108,12.38,71.68,15.94
109,12.61,70.06,17.33
110,12.64,68.6,18.76
111,12.92,66.13,20.95
112,11.89,65.1,23.01
113,12.27,63.29,24.44
114,12.08,61.03,26.89
115,11.61,59.72,28.67
116,13.51,81.65,4.84
117,13.63,80.87,5.5
118,14.03,80.15,5.82
119,13.5,79.91,6.59
120,13.74,79.31,6.95
121,13.73,78.45,7.82
122,13.26,78.36,8.38
123,13.83,76.89,9.28
124,14.09,75.33,10.58
125,13.98,74.49,11.53
126,14.0,73.3,12.7
127,14.07,71.8,14.13
128,14.9,69.77,15.33
129,14.77,68.47,16.76
130,14.04,67.14,18.82
131,13.77,65.87,20.36
132,13.76,64.27,21.97
133,13.59,61.84,24.57
134,13.85,60.12,26.03
135,13.42,58.34,28.24
136,12.75,56.47,30.78
137,15.52,79.02,5.46
138,15.66,78.36,5.98
139,15.53,78.13,6.34
140,15.63,77.3,7.07
141,15.92,76.65,7.43
142,15.95,75.67,8.38
143,15.94,74.98,9.08
144,16.0,73.91,10.09
145,16.33,72.69,10.98
146,15.77,71.88,12.35
147,16.1,70.48,13.42
148,16.22,69.43,14.35
149,15.85,67.82,16.33
150,15.96,66.16,17.88
151,15.57,65.0,19.43
152,16.22,62.63,21.15
153,15.75,60.92,23.33
154,15.23,59.34,25.43
155,15.1,57.6,27.3
156,14.87,55.32,29.81
157,14.88,52.89,32.23
158,17.95,76.1,5.95
159,18.48,75.35,6.17
160,18.05,74.86,7.09
161,17.97,74.57,7.46
162,18.32,73.75,7.93
163,18.57,72.71,8.72
164,18.6,71.83,9.57
165,18.11,71.18,10.71
166,18.11,70.23,11.66
167,18.43,68.47,13.1
168,18.39,67.39,14.22
169,18.31,66.21,15.48
170,18.03,64.65,17.32
171,18.04,62.87,19.09
172,17.7,61.84,20.46
173,17.24,60.08,22.68
174,16.77,58.57,24.66
175,16.72,56.88,26.4
176,16.26,54.43,29.31
177,16.18,52.95,30.87
178,15.71,50.57,33.72
179,20.67,73.23,6.1
180,20.86,72.34,6.8
181,21.02,71.67,7.31
182,20.49,71.41,8.1
183,20.43,71.16,8.41
184,20.71,69.86,9.43
185,20.46,69.39,10.15
186,20.22,68.31,11.47
187,20.2,67.1,12.7
188,20.05,65.96,13.99
189,20.12,64.9,14.98
190,19.98,63.72,16.3
191,20.41,61.69,17.9
192,19.66,60.46,19.88
193,19.68,59.0,21.32
194,19.77,56.87,23.36
195,18.77,55.3,25.93
196,18.35,53.35,28.3
197,17.89,51.66,30.45
198,17.59,49.87,32.54
199,16.76,48.08,35.16
200,24.01,69.51,6.48
201,23.63,69.27,7.1
202,23.72,68.78,7.5
203,24.17,67.66,8.17
204,24.0,66.84,9.16
