Area,Au [at.%],Ir [at.%],Rh [at.%]
1,13.01,59.73,27.26
2,13.51,56.97,29.52
3,13.29,55.83,30.88
4,13.66,53.29,33.05
5,13.09,51.84,35.07
6,12.34,50.46,37.2
7,12.59,47.98,39.43
8,12.61,44.89,42.5
9,11.68,43.19,45.13
10,11.94,41.64,46.42
11,11.53,39.01,49.45
12,14.9,58.1,27.0
13,14.8,56.98,28.22
14,14.43,54.72,30.85
15,14.67,53.03,32.3
16,14.48,51.17,34.35
17,14.04,49.04,36.92
18,13.86,47.03,39.11
19,13.66,44.69,41.65
20,13.2,43.25,43.55
21,12.39,41.13,46.48
22,12.24,38.71,49.04
23,11.87,36.57,51.56
24,11.7,34.3,54.0
25,17.0,56.12,26.88
26,16.97,54.71,28.32
27,16.23,53.54,30.23
28,16.24,51.6,32.16
29,15.59,50.23,34.18
30,15.94,49.01,35.05
31,15.57,46.4,38.03
32,15.24,44.33,40.43
33,14.66,42.46,42.88
34,14.04,39.89,46.07
35,13.69,38.27,48.04
36,12.98,35.63,51.39
37,12.47,33.76,53.77
38,12.45,31.89,55.66
39,11.06,29.97,58.97
40,19.2,54.8,26.0
41,18.81,53.59,27.6
42,18.46,52.59,28.95
43,18.42,50.7,30.88
44,17.99,49.54,32.47
45,16.69,47.56,35.75
46,16.46,45.93,37.61
47,16.58,43.5,39.91
48,15.79,41.5,42.71
49,15.36,39.74,44.91
50,14.7,37.44,47.86
51,14.32,36.14,49.54
52,13.93,33.68,52.39
53,13.06,31.64,55.3
54,12.15,29.11,58.74
55,11.69,27.06,61.25
56,11.34,25.62,63.04
57,20.74,54.02,25.24
58,20.14,52.22,27.64
59,20.13,51.22,28.65
60,20.31,49.61,30.08
61,19.41,48.14,32.45
62,19.17,45.88,34.95
63,19.16,44.97,35.87
64,18.29,42.76,38.95
65,18.11,40.6,41.29
66,17.71,38.59,43.69
67,16.62,37.36,46.02
68,16.12,35.14,48.73
69,15.32,33.04,51.64
70,14.92,31.26,53.82
71,13.75,28.47,57.78
72,12.66,26.99,60.35
73,12.36,25.45,62.19
74,11.45,23.86,64.69
75,10.82,21.93,67.25
76,23.4,50.64,25.96
77,22.58,49.73,27.69
78,22.38,48.63,28.99
79,21.68,46.82,31.51
80,21.27,45.43,33.3
81,20.82,43.86,35.32
82,20.5,41.77,37.73
83,19.6,40.21,40.19
84,19.78,37.72,42.49
85,18.35,36.52,45.13
86,17.4,34.03,48.57
87,17.14,32.74,50.12
88,15.92,30.69,53.39
89,15.44,28.39,56.17
90,14.6,26.54,58.86
91,13.84,24.83,61.33
92,13.31,23.13,63.56
93,12.44,21.32,66.24
94,11.9,19.65,68.45
95,25.52,48.78,25.69
96,25.25,47.9,26.85
97,25.1,46.23,28.66
98,24.73,44.74,30.53
99,23.43,44.39,32.19
100,22.88,42.32,34.8
101,22.77,40.49,36.74
102,21.91,39.22,38.87
103,20.91,38.16,40.93
104,21.3,35.33,43.37
105,20.07,33.48,46.46
106,18.42,31.95,49.64
107,18.01,29.75,52.24
108,17.44,27.96,54.6
109,16.43,26.32,57.25
110,15.31,24.61,60.08
111,14.94,22.68,62.38
112,13.91,21.44,64.65
113,12.42,19.35,68.23
114,11.61,18.21,70.18
115,10.69,16.11,73.2
116,28.31,46.0,25.69
117,28.0,43.96,28.04
118,26.65,43.54,29.8
119,25.94,42.43,31.63
120,25.91,41.54,32.55
121,25.69,39.25,35.05
122,24.84,38.03,37.13
123,23.8,36.51,39.69
124,22.98,34.55,42.47
125,21.82,33.06,45.12
126,20.97,31.61,47.43
127,19.86,29.45,50.69
