Library,Area,i_lim [A/cm^2],k^0 [cm/s],alpha [a.u.]
Ir-rich,6,7.19054115909547,0.0039443273974914,0.2693612028793185
Ir-rich,42,7.1161265945561345,0.0033459908557697,0.2718015881563959
Ir-rich,54,7.22948786157054,0.0036034630429698,0.3042699889033106
Ir-rich,158,7.1678277512540385,0.003632791865656,0.254087718809123
Ir-rich,178,7.175177727274218,0.0046744203606578,0.3146727584010251
Ir-rich,282,7.620963252423431,0.0034541216825561,0.264280031542719
Ir-rich,294,7.328430064350717,0.0051012403626471,0.2983576108393851
Ir-rich,339,7.688484912997756,0.0030189857258885,0.2768423552496736
Au-rich,279,7.181308583710801,0.0058796042220756,0.3176665709520335
Rh-rich,337,7.802345473944456,0.0010509346190872,0.2876636773019132
Rh-rich,221,8.040064435660492,0.0003247497194505,0.3193616435121987
Rh-rich,279,7.50017712090483,0.0037097848870491,0.2975078013942148
Rh-rich,57,8.155808011901565,0.0013731553679501,0.2612825144372318
Au-rich,75,6.730729487535817,0.0089724095853047,0.3175387966674697
Au-rich,342,6.93129710010667,0.0066415010488602,0.3090825386216021
Au-rich,232,6.6023305163829775,0.0100265707327193,0.3011437974849683
Au-rich,11,6.895731178275192,0.0089232181876303,0.3094791667923666
Au-rich,261,7.1420701712362895,0.0058082504989514,0.2996917180489085
Au-rich,126,6.973460461927973,0.0113602644375692,0.296636228515125
Au-rich,157,6.925348555606316,0.009152833030772,0.3051194142160524
Au-rich,315,6.77188977568487,0.0083613148563229,0.3020960334610648
Au-rich,57,7.035818399640261,0.007124199697355,0.2886002770593384
Ir-rich,1,7.325991314837823,0.0031440430567223,0.2732871975070442
Ir-rich,124,7.510224790554786,0.0054597256148272,0.2642930729780925
Ir-rich,57,7.22469608172583,0.0041792114491099,0.2653098094831216
Ir-rich,230,7.489644972133986,0.0065318089191674,0.259107836893082
Rh-rich,230,7.949332182213539,0.0023794776649293,0.2764918159705819
Rh-rich,342,7.13665967115298,0.0024283626694473,0.2836074740468114
Rh-rich,122,8.068393272878604,0.0020428320635236,0.2688185081692726
Rh-rich,325,7.933547435526736,0.0007821784528217,0.2996408310183884
Rh-rich,273,7.804414035742358,0.003585602339967,0.2777271909361813
Rh-rich,158,8.175884270077136,0.0006209287587223,0.3013976734625215
Rh-rich,150,7.84434703808706,0.0034392721988466,0.2835100683000867
Rh-rich,197,7.444662401739898,0.0052392648477697,0.2934024242367887
Rh-rich,226,7.996175199412813,0.0012328725194941,0.2885620584856995
Rh-rich,46,7.814535961647362,0.0032640099183526,0.2611724349858312
Rh-rich,303,7.898781145160178,0.002087294444116,0.2784962070954219
Rh-rich,1,7.7415016424825165,0.0034572512276922,0.2487177671221976
Rh-rich,126,7.986426951408131,0.0028364381939454,0.2745659324836574
Rh-rich,10,7.517438308425825,0.0052425497384545,0.2677034612439428
Rh-rich,261,8.090989889862241,0.0004324136272056,0.3203942909059143
Rh-rich,323,7.762655240234775,0.0036126223073117,0.2887188325095641
Rh-rich,73,7.545092440132694,0.0063557610120318,0.2744123013846921
Au-rich,236,7.087047581166134,0.0113615634069599,0.2975611571640172
Au-rich,131,7.1305414673983405,0.0119534575946371,0.2984638056350559
Au-rich,206,6.993779985770451,0.0119746206854916,0.296681608263262
Au-rich,1,7.212247255762715,0.0060324492406827,0.2999946145009883
Au-rich,339,7.1783442003148155,0.0101948914770007,0.2921239211240342
Au-rich,6,7.287718360171456,0.0097994949561591,0.2898524341117228
Au-rich,290,7.033949966917577,0.0115492942853652,0.292231403072373
Au-rich,220,7.152719323537889,0.0106677334625726,0.3007161885102055
Au-rich,54,7.045260092853011,0.0128370292309972,0.3035885028244923
Au-rich,102,7.263178523907448,0.0116137304936004,0.2883968461719733
Au-rich,49,7.272298436679664,0.0127667084499457,0.2897418236319295
Au-rich,294,7.120205723660038,0.0114575868417865,0.28697088571449
Au-rich,265,7.154583038772153,0.0106538711251714,0.2881353620050766
Au-rich,202,7.146407522027955,0.0117131851316784,0.2851022113800056
Ir-rich,11,7.209598639769741,0.0044189837551207,0.2938129231106253
Ir-rich,129,7.497621186429372,0.0062568879249484,0.2756701288490344
Ir-rich,221,7.495021820741435,0.006484715199491,0.237105521112453
Ir-rich,49,7.328908361255203,0.0051988725568623,0.27493210373484
Ir-rich,184,7.4442046388817005,0.0066758426511547,0.2513442219611769
