cell_id,protocol_id,replicate_id,protocol_type,protocol_variant,efc_lifetime,cycles_90,average_current,normalized_current_variance,maximum_discharge_current,relative_charge_fraction,rest_fraction_at_high_soc,rest_soc,peak_frequency_1,peak_frequency_2
cell_007,CC_(100%_storage)_Co10,A,CC,(100% storage),348.4922328,371.3486566,0.0602349852692704,0.03972474395558055,0.10023712519873695,0.0,0.39740590384640645,1.0,1.8398421474370672e-05,7.359368589748269e-05
cell_008,CC_(100%_storage)_Co10,B,CC,(100% storage),348.5723826,371.3000756,0.0602349852692704,0.03972474395558055,0.10023712519873695,0.0,0.39740590384640645,1.0,1.8398421474370672e-05,7.359368589748269e-05
cell_023,CC_(100%_storage)_Co2,A,CC,(100% storage),414.1129887,478.063048,0.1127820214693967,0.38717786025111844,0.5010492103432196,0.0,0.7744156388761148,1.0,3.585257587389419e-05,7.170515174778839e-05
cell_024,CC_(100%_storage)_Co2,B,CC,(100% storage),402.3981211,462.3861657,0.1127820214693967,0.38717786025111844,0.5010492103432196,0.0,0.7744156388761148,1.0,3.585257587389419e-05,7.170515174778839e-05
cell_015,CC_(100%_storage)_Co5,A,CC,(100% storage),371.1434155,404.5841189,0.08573366014611584,0.11424893807337085,0.20080018311001424,0.0,0.5712925593839842,1.0,2.644872960111037e-05,5.2897459202220755e-05
cell_016,CC_(100%_storage)_Co5,B,CC,(100% storage),374.2128281,407.5517248,0.08573366014611584,0.11424893807337085,0.20080018311001424,0.0,0.5712925593839842,1.0,2.644872960111037e-05,5.2897459202220755e-05
cell_003,CC_(5%_storage)_Co10,A,CC,(5% storage),461.2573902,497.4511837,0.060334748632947355,0.03962482385176,0.10084687570999995,0.0,9.178353770467728e-07,0.08680192664753915,1.8352665697073234e-05,7.341066278829293e-05
cell_004,CC_(5%_storage)_Co10,B,CC,(5% storage),453.6388264,488.9891612,0.060334748632947355,0.03962482385176,0.10084687570999995,0.0,9.178353770467728e-07,0.08680192664753915,1.8352665697073234e-05,7.341066278829293e-05
cell_019,CC_(5%_storage)_Co2,A,CC,(5% storage),599.2031081,691.710373,0.1135342388275393,0.38642715214918677,0.50093842984,0.0,0.0,0.11867467415620035,3.578393687724547e-05,7.156787375449093e-05
cell_020,CC_(5%_storage)_Co2,B,CC,(5% storage),597.3291626,689.6611899,0.1135342388275393,0.38642715214918677,0.50093842984,0.0,0.0,0.11867467415620035,3.578393687724547e-05,7.156787375449093e-05
cell_011,CC_(5%_storage)_Co5,A,CC,(5% storage),513.7269836,562.1114863,0.08595068251395235,0.1140325622300299,0.20130464638,0.0,0.0,0.09560773250954205,2.6399157066830634e-05,5.279831413366128e-05
