physical_cell_id,batch_id,original_cell_id,charging_policy,split,cycle_life,delta_q_var,delta_q_min,delta_q_mean,delta_q_skew,delta_q_kurt,q_discharge_2,q_discharge_100,q_diff_100_2,q_max_diff,q_slope,q_intercept,ir_2,ir_100,ir_diff_100_2,ir_mean,t_avg_mean,t_max_max,t_min_min,charge_time_mean,charge_time_diff_100_2
b1c0,batch1,b1c0,3.6C(80%)-3.6C,primary_test,1852.0,-5.014861042960788,-2.0726479673332374,-0.0028734152246919164,-0.5320584720505735,-1.3483118916844854,1.0706892,1.0759126,0.005223400000000211,0.46836520000000004,-0.0002068070129870133,1.0911437324098123,0.016742354,0.016667154,-7.520000000000096e-05,0.01664332204040404,31.603747328822767,35.994705,29.012251,13.384230505050484,-0.0004883333326688444
b1c1,batch1,b1c1,3.6C(80%)-3.6C,train,2160.0,-5.013959617162855,-1.9584566567173611,-0.00409961462134519,-0.4293749031928047,-1.0291160019202557,1.0753012,1.0806297,0.005328500000000069,0.009288300000000138,5.5352925170070685e-06,1.0809645798796124,0.017038831,0.01699684,-4.199100000000164e-05,0.016750843414141414,31.33031430692745,34.712265,29.230637,13.374696464646446,-0.08423333333363736
b1c2,batch1,b1c2,3.6C(80%)-3.6C,primary_test,2237.0,-4.7369997419805365,-1.7640578612436268,-0.004486734282886989,-1.0801942790076273,0.3486368188757716,1.0799223,1.0849404,0.005018100000000025,0.008131200000000005,1.0295625231910926e-05,1.0848461200828694,0.01686798,0.016854173,-1.3807000000001096e-05,0.01659959497979798,31.47958411321121,35.127342,29.269444,13.378886329966337,0.0001250000001178364
b1c3,batch1,b1c3,4C(80%)-4C,train,1434.0,-4.442613359277012,-1.7221493032207573,-0.007455784700018413,-0.4390504629404682,-1.0954158488747705,1.0797229,1.0847498,0.005026900000000056,0.006530099999999983,1.713634755720454e-05,1.0840750159715524,0.016369704,0.016408285,3.858100000000281e-05,0.01614615604040404,29.942198807956427,31.691414,29.023619,12.053277171717166,0.08401166666669013
b1c4,batch1,b1c4,4C(80%)-4C,primary_test,1709.0,-4.647743660307859,-1.8551769586673086,-0.005750008121960181,-0.3625481267285902,-1.3338305761630276,1.0784167,1.0826457,0.004229000000000038,0.005899899999999958,1.899431787260345e-05,1.0818748211016282,0.016787428,0.016734114,-5.331399999999875e-05,0.01650051357575757,31.44888383416564,35.651741,29.092649,12.053313636363642,-7.833333332563086e-05
b1c5,batch1,b1c5,4.4C(80%)-4.4C,train,1074.0,-4.178877963304522,-1.5989653349280424,-0.01107391297973859,-0.1493501482196471,-1.2275265201493235,1.0761266,1.0797794,0.0036528000000000116,0.005943800000000055,1.1228400742115005e-05,1.0797547949964956,0.016437579,0.016325712,-0.0001118670000000016,0.016270388575757577,30.92149771366389,34.654667,28.914812,15.07576803030309,-0.08435999999983324
b1c6,batch1,b1c6,4.8C(80%)-4.8C,primary_test,636.0,-3.7688779002277237,-1.4215207944138115,-0.015965056248274823,-0.40793584962018636,-1.2380700944581655,1.0758358,1.0792426,0.003406800000000043,0.006303200000000064,-4.8086468769325835e-06,1.0811570258392085,0.017001977,0.016668631,-0.0003333460000000017,0.016507268545454545,32.27384521945563,36.496124,29.495056,10.04485760942758,-0.08742499999960529
b1c7,batch1,b1c7,4.8C(80%)-4.8C,train,870.0,-3.8134860773269867,-1.4175572328154407,-0.016645727245619735,-0.3334166199580946,-1.120535904128327,1.0938644,1.0957625,0.0018981000000000137,0.004104200000000002,-6.428188002473638e-06,1.0972542699113585,0.016311171,0.01627275,-3.842100000000029e-05,0.016050141454545454,31.990084509217034,36.053928,29.368095,10.044094528619514,0.0010150000007040916
b1c9,batch1,b1c9,5.4C(40%)-3.6C,primary_test,1054.0,-4.059383677769545,-1.5417478896827503,-0.011510600568480111,-0.4275910282835675,-1.1821708568020548,1.0829742,1.0876312,0.004656999999999911,0.005975700000000028,1.8204385899814532e-05,1.0867714248039577,0.016978227,0.016944561,-3.366599999999817e-05,0.01683536523232323,32.64153361126789,36.799232,29.999718,11.241857609427619,0.0003433333333298094
b1c11,batch1,b1c11,5.4C(50%)-3C,train,788.0,-4.146896530502188,-1.6254072026301174,-0.008378205102529986,-0.594847886540066,-1.205555466507367,1.0537786,1.0599719,0.006193300000000068,0.009460400000000035,2.1809402597402858e-05,1.0589716063261183,0.016575078,0.0162715,-0.0003035779999999988,0.01603708411111111,32.75932260623101,37.128967,29.87781,11.684114427609464,-0.0006250000000367351
