sample_id,si_content,mxene_content,alginate_content,carbon_content,mixing_time,drying_temp,pressing_pressure,particle_size_mean,porosity_score,agglomeration_index,crack_density,surface_uniformity,si_percent,ti_percent,c_percent,o_percent,impurity_percent,initial_capacity,capacity_50,capacity_100,retention_100,coulombic_efficiency,rct,si_mxene_ratio,si_ti_ratio,c_o_ratio,impurity_score,capacity_fade
S001,55.0,15.0,5.0,25.0,60.0,100.0,7.0,177.86,0.376,0.44,0.046,0.734,35.5,11.33,51.17,7.86,1.55,1293.37,919.09,837.92,64.79,97.85,166.76,3.6666666666666665,3.1332744924977933,6.510178117048346,0.0155,455.44999999999993
S002,65.0,25.0,5.0,5.0,30.0,70.0,5.0,110.94,0.404,0.443,0.072,0.741,45.97,17.3,17.08,8.2,1.53,1257.63,985.12,902.36,71.75,97.93,133.48,2.6,2.6572254335260115,2.0829268292682928,0.015300000000000001,355.2700000000001
S003,65.0,10.0,15.0,10.0,45.0,100.0,7.0,147.58,0.305,0.649,0.048,0.726,44.64,7.02,20.8,14.7,1.39,1360.69,1149.4,1073.71,78.91,98.37,163.45,6.5,6.3589743589743595,1.4149659863945578,0.0139,286.98
S004,60.0,15.0,15.0,10.0,45.0,70.0,5.0,147.1,0.412,0.459,0.014,0.822,41.82,11.0,23.02,14.38,1.48,1284.01,1046.17,991.54,77.22,98.24,137.78,4.0,3.8018181818181818,1.6008344923504867,0.0148,292.47
S005,60.0,15.0,15.0,10.0,45.0,100.0,5.0,163.74,0.346,0.555,0.01,0.774,40.11,11.62,25.43,13.25,1.35,1367.35,1189.89,1127.57,82.46,98.22,150.95,4.0,3.451807228915663,1.919245283018868,0.013500000000000002,239.77999999999997
S006,70.0,10.0,15.0,5.0,30.0,100.0,6.0,140.16,0.35,0.577,0.063,0.723,48.58,6.81,15.12,12.7,2.22,1336.76,980.73,901.56,67.44,98.54,179.47,7.0,7.133627019089574,1.1905511811023621,0.0222,435.20000000000005
S007,55.0,15.0,5.0,25.0,45.0,100.0,4.0,140.06,0.323,0.508,0.029,0.669,38.68,11.32,49.6,7.17,1.16,1253.85,884.79,830.84,66.26,98.43,165.17,3.6666666666666665,3.4169611307420493,6.9177126917712695,0.0116,423.0099999999999
S008,65.0,15.0,10.0,10.0,30.0,90.0,6.0,152.33,0.352,0.488,0.087,0.692,44.48,10.53,22.74,11.12,1.05,1361.85,1062.89,960.87,70.56,98.4,177.63,4.333333333333333,4.2241215574548905,2.0449640287769784,0.0105,400.9799999999999
S009,55.0,20.0,15.0,10.0,60.0,80.0,6.0,139.22,0.362,0.447,0.012,0.754,37.68,14.28,25.61,15.44,0.82,1316.83,1067.53,1001.22,76.03,98.05,131.67,2.75,2.638655462184874,1.658678756476684,0.008199999999999999,315.6099999999999
S010,55.0,15.0,10.0,20.0,60.0,90.0,7.0,138.49,0.346,0.562,0.035,0.697,37.72,11.63,39.23,11.8,0.68,1302.66,977.56,905.78,69.53,98.3,141.24,3.6666666666666665,3.2433361994840926,3.3245762711864404,0.0068000000000000005,396.8800000000001
S011,60.0,25.0,5.0,10.0,60.0,80.0,7.0,123.39,0.474,0.443,0.043,0.742,39.76,16.01,26.0,8.86,0.58,1234.15,1017.38,943.7,76.47,98.45,122.44,2.4,2.4834478450968143,2.9345372460496617,0.0058,290.45000000000005
S012,75.0,10.0,10.0,5.0,60.0,100.0,6.0,135.5,0.251,0.669,0.082,0.664,50.82,5.9,11.96,11.83,0.76,1416.71,961.92,875.74,61.81,97.97,182.73,7.5,8.613559322033899,1.010989010989011,0.0076,540.97
S013,65.0,20.0,5.0,10.0,45.0,90.0,5.0,131.14,0.417,0.527,0.056,0.781,44.02,12.92,24.47,8.16,1.16,1290.96,903.29,851.55,65.96,98.29,141.86,3.25,3.407120743034056,2.9987745098039214,0.0116,439.4100000000001
S014,65.0,20.0,10.0,5.0,60.0,80.0,5.0,130.8,0.41,0.498,0.049,0.698,44.66,12.07,13.75,11.29,1.37,1348.09,1071.49,1010.01,74.92,98.41,136.5,3.25,3.7000828500414245,1.2178919397697079,0.0137,338.0799999999999
S015,65.0,15.0,15.0,5.0,45.0,90.0,5.0,145.79,0.336,0.6,0.082,0.699,45.4,10.12,11.12,13.82,1.23,1273.43,1019.29,913.42,71.73,98.34,168.01,4.333333333333333,4.486166007905139,0.8046309696092618,0.0123,360.0100000000001
S016,65.0,25.0,5.0,5.0,30.0,90.0,7.0,118.34,0.382,0.448,0.058,0.743,42.93,18.75,13.39,9.19,0.82,1357.58,1041.66,987.28,72.72,98.34,124.38,2.6,2.2896,1.4570184983677912,0.008199999999999999,370.29999999999995
S017,60.0,20.0,15.0,5.0,60.0,70.0,5.0,139.66,0.403,0.503,0.043,0.744,40.65,14.12,13.32,14.3,1.65,1273.7,1081.27,997.96,78.35,98.44,134.36,3.0,2.8788951841359776,0.9314685314685315,0.0165,275.74
S018,55.0,15.0,15.0,15.0,45.0,70.0,4.0,155.15,0.339,0.498,0.01,0.81,39.18,11.0,30.81,13.99,1.57,1224.78,948.49,869.52,70.99,97.68,150.61,3.6666666666666665,3.561818181818182,2.2022873481057896,0.015700000000000002,355.26
S019,70.0,10.0,10.0,10.0,30.0,70.0,5.0,153.87,0.329,0.593,0.094,0.688,46.71,8.29,20.56,11.97,1.12,1397.12,907.61,828.46,59.3,97.8,179.47,7.0,5.634499396863692,1.717627401837928,0.011200000000000002,568.6599999999999
S020,60.0,15.0,15.0,10.0,45.0,70.0,4.0,147.22,0.361,0.492,0.036,0.798,39.81,12.13,25.41,13.27,0.87,1320.87,1108.35,1027.03,77.75,98.19,156.38,4.0,3.2819455894476506,1.9148455162019593,0.0087,293.8399999999999
S021,60.0,20.0,15.0,5.0,60.0,80.0,4.0,134.64,0.464,0.51,0.028,0.766,41.04,14.33,16.66,14.38,1.47,1282.37,1102.73,1001.39,78.09,98.02,139.64,3.0,2.8639218422889043,1.1585535465924894,0.0147,280.9799999999999
S022,60.0,10.0,15.0,15.0,30.0,90.0,4.0,152.0,0.31,0.523,0.029,0.703,41.81,8.55,28.56,14.89,1.29,1375.3,1002.26,889.41,64.67,98.36,155.95,6.0,4.890058479532164,1.9180658159838817,0.0129,485.89
S023,55.0,20.0,15.0,10.0,45.0,90.0,7.0,125.34,0.359,0.491,0.01,0.781,37.41,14.49,24.52,13.07,0.48,1262.67,1094.71,1027.76,81.4,98.87,127.69,2.75,2.581780538302277,1.8760520275439938,0.0048,234.91000000000008
