sample_id,si_percent,ti_percent,c_percent,o_percent,impurity_percent
S001,35.5,11.33,51.17,7.86,1.55
S002,45.97,17.3,17.08,8.2,1.53
S003,44.64,7.02,20.8,14.7,1.39
S004,41.82,11.0,23.02,14.38,1.48
S005,40.11,11.62,25.43,13.25,1.35
S006,48.58,6.81,15.12,12.7,2.22
S007,38.68,11.32,49.6,7.17,1.16
S008,44.48,10.53,22.74,11.12,1.05
S009,37.68,14.28,25.61,15.44,0.82
S010,37.72,11.63,39.23,11.8,0.68
S011,39.76,16.01,26.0,8.86,0.58
S012,50.82,5.9,11.96,11.83,0.76
S013,44.02,12.92,24.47,8.16,1.16
S014,44.66,12.07,13.75,11.29,1.37
S015,45.4,10.12,11.12,13.82,1.23
S016,42.93,18.75,13.39,9.19,0.82
S017,40.65,14.12,13.32,14.3,1.65
S018,39.18,11.0,30.81,13.99,1.57
S019,46.71,8.29,20.56,11.97,1.12
S020,39.81,12.13,25.41,13.27,0.87
S021,41.04,14.33,16.66,14.38,1.47
S022,41.81,8.55,28.56,14.89,1.29
S023,37.41,14.49,24.52,13.07,0.48
S024,49.19,13.56,14.39,8.63,1.17
S025,45.23,17.41,16.07,10.19,1.33
S026,45.21,5.72,21.28,13.62,0.75
S027,41.46,9.91,41.43,10.23,1.29
S028,50.39,6.84,20.49,11.19,0.47
S029,40.55,18.8,27.1,10.27,1.87
S030,38.4,12.52,20.79,13.84,1.82
S031,42.73,9.42,22.51,13.93,1.07
S032,36.85,18.39,38.4,10.35,1.38
S033,37.53,9.76,40.83,11.25,0.1
S034,42.37,18.47,18.65,10.84,0.62
S035,45.68,10.67,13.64,11.19,1.05
S036,35.9,5.37,39.87,14.07,0.66
S037,45.68,8.13,11.91,12.65,1.56
S038,46.65,6.59,20.74,11.95,2.2
S039,37.93,21.07,25.83,8.87,0.61
S040,44.83,6.13,30.65,12.3,0.78
S041,37.73,13.75,31.72,9.82,1.32
S042,42.5,14.83,16.0,10.95,2.01
S043,41.43,10.61,24.13,10.32,0.59
S044,40.87,7.53,39.55,10.92,1.32
S045,36.83,7.56,38.57,13.92,2.11
S046,51.55,8.52,12.68,11.37,0.37
S047,41.64,10.46,22.04,13.57,0.56
S048,47.77,9.32,14.9,11.39,0.99
S049,45.11,11.87,28.75,9.39,0.94
S050,44.48,17.67,16.0,8.54,1.61
