sample_id,initial_capacity,capacity_50,capacity_100,retention_100,coulombic_efficiency,rct
S001,1293.37,919.09,837.92,64.79,97.85,166.76
S002,1257.63,985.12,902.36,71.75,97.93,133.48
S003,1360.69,1149.4,1073.71,78.91,98.37,163.45
S004,1284.01,1046.17,991.54,77.22,98.24,137.78
S005,1367.35,1189.89,1127.57,82.46,98.22,150.95
S006,1336.76,980.73,901.56,67.44,98.54,179.47
S007,1253.85,884.79,830.84,66.26,98.43,165.17
S008,1361.85,1062.89,960.87,70.56,98.4,177.63
S009,1316.83,1067.53,1001.22,76.03,98.05,131.67
S010,1302.66,977.56,905.78,69.53,98.3,141.24
S011,1234.15,1017.38,943.7,76.47,98.45,122.44
S012,1416.71,961.92,875.74,61.81,97.97,182.73
S013,1290.96,903.29,851.55,65.96,98.29,141.86
S014,1348.09,1071.49,1010.01,74.92,98.41,136.5
S015,1273.43,1019.29,913.42,71.73,98.34,168.01
S016,1357.58,1041.66,987.28,72.72,98.34,124.38
S017,1273.7,1081.27,997.96,78.35,98.44,134.36
S018,1224.78,948.49,869.52,70.99,97.68,150.61
S019,1397.12,907.61,828.46,59.3,97.8,179.47
S020,1320.87,1108.35,1027.03,77.75,98.19,156.38
S021,1282.37,1102.73,1001.39,78.09,98.02,139.64
S022,1375.3,1002.26,889.41,64.67,98.36,155.95
S023,1262.67,1094.71,1027.76,81.4,98.87,127.69
S024,1366.44,993.47,916.78,67.09,98.35,168.55
S025,1349.6,1035.8,965.46,71.54,98.21,119.17
S026,1309.62,998.52,914.71,69.85,98.43,146.74
S027,1331.2,1025.14,926.41,69.59,98.09,134.09
S028,1340.99,951.42,882.48,65.81,98.02,180.94
S029,1291.48,1098.61,1025.59,79.41,98.11,133.73
S030,1371.32,1188.66,1070.01,78.03,98.44,151.92
S031,1263.17,1026.3,972.71,77.01,98.33,164.2
S032,1173.92,911.95,837.95,71.38,97.82,96.84
S033,1354.99,1064.77,962.36,71.02,98.12,158.86
S034,1424.72,1197.2,1129.49,79.28,98.36,141.44
S035,1346.76,1034.82,977.76,72.6,98.63,152.18
S036,1195.34,893.67,837.59,70.07,98.33,162.85
S037,1351.03,1033.98,917.87,67.94,98.04,171.58
S038,1352.12,887.41,832.7,61.58,97.91,176.82
S039,1273.95,1043.98,981.02,77.01,98.32,104.92
S040,1287.4,1000.21,946.7,73.54,98.16,184.68
S041,1308.58,1012.18,952.59,72.8,97.91,150.87
S042,1361.1,1072.54,975.89,71.7,98.11,147.83
S043,1270.25,958.13,891.97,70.22,97.92,185.51
S044,1341.46,988.86,897.02,66.87,97.69,169.68
S045,1374.87,1116.86,1021.29,74.28,98.36,180.04
S046,1400.24,856.38,740.9,52.91,97.69,189.55
S047,1294.82,1031.67,979.57,75.65,97.82,149.66
S048,1358.61,1012.69,900.38,66.27,97.96,165.3
S049,1365.19,890.44,793.58,58.13,97.99,196.7
S050,1259.62,960.73,900.1,71.46,98.41,139.53
