sample_id,si_content,mxene_content,alginate_content,carbon_content,mixing_time,drying_temp,pressing_pressure
S001,55,15,5,25,60,100,7
S002,65,25,5,5,30,70,5
S003,65,10,15,10,45,100,7
S004,60,15,15,10,45,70,5
S005,60,15,15,10,45,100,5
S006,70,10,15,5,30,100,6
S007,55,15,5,25,45,100,4
S008,65,15,10,10,30,90,6
S009,55,20,15,10,60,80,6
S010,55,15,10,20,60,90,7
S011,60,25,5,10,60,80,7
S012,75,10,10,5,60,100,6
S013,65,20,5,10,45,90,5
S014,65,20,10,5,60,80,5
S015,65,15,15,5,45,90,5
S016,65,25,5,5,30,90,7
S017,60,20,15,5,60,70,5
S018,55,15,15,15,45,70,4
S019,70,10,10,10,30,70,5
S020,60,15,15,10,45,70,4
S021,60,20,15,5,60,80,4
S022,60,10,15,15,30,90,4
S023,55,20,15,10,45,90,7
S024,70,20,5,5,30,80,6
S025,65,25,5,5,60,100,6
S026,65,10,15,10,45,90,5
S027,60,15,5,20,30,70,6
S028,70,10,10,10,30,100,4
S029,60,25,5,10,45,90,7
S030,60,15,15,10,60,90,6
S031,60,15,15,10,60,90,7
S032,55,25,5,15,45,90,4
S033,55,15,10,20,30,70,5
S034,60,25,10,5,60,90,6
S035,70,15,10,5,45,100,5
S036,55,10,15,20,60,80,5
S037,70,10,15,5,30,90,4
S038,70,10,10,10,30,70,5
S039,55,30,5,10,60,80,4
S040,65,10,10,15,60,80,5
S041,55,20,10,15,45,100,6
S042,65,20,10,5,60,70,6
S043,65,15,10,10,60,80,6
S044,60,10,10,20,45,80,5
S045,55,10,15,20,60,100,7
S046,75,10,10,5,30,100,4
S047,60,15,15,10,30,70,5
S048,70,15,10,5,60,70,4
S049,65,15,5,15,45,100,5
S050,65,25,5,5,30,70,7
