sample_id,particle_size_mean,porosity_score,agglomeration_index,crack_density,surface_uniformity
S001,177.86,0.376,0.44,0.046,0.734
S002,110.94,0.404,0.443,0.072,0.741
S003,147.58,0.305,0.649,0.048,0.726
S004,147.1,0.412,0.459,0.014,0.822
S005,163.74,0.346,0.555,0.01,0.774
S006,140.16,0.35,0.577,0.063,0.723
S007,140.06,0.323,0.508,0.029,0.669
S008,152.33,0.352,0.488,0.087,0.692
S009,139.22,0.362,0.447,0.012,0.754
S010,138.49,0.346,0.562,0.035,0.697
S011,123.39,0.474,0.443,0.043,0.742
S012,135.5,0.251,0.669,0.082,0.664
S013,131.14,0.417,0.527,0.056,0.781
S014,130.8,0.41,0.498,0.049,0.698
S015,145.79,0.336,0.6,0.082,0.699
S016,118.34,0.382,0.448,0.058,0.743
S017,139.66,0.403,0.503,0.043,0.744
S018,155.15,0.339,0.498,0.01,0.81
S019,153.87,0.329,0.593,0.094,0.688
S020,147.22,0.361,0.492,0.036,0.798
S021,134.64,0.464,0.51,0.028,0.766
S022,152.0,0.31,0.523,0.029,0.703
S023,125.34,0.359,0.491,0.01,0.781
S024,137.8,0.407,0.482,0.097,0.713
S025,123.83,0.449,0.477,0.063,0.764
S026,177.12,0.374,0.61,0.032,0.685
S027,161.88,0.393,0.593,0.031,0.753
S028,156.63,0.334,0.619,0.083,0.687
S029,115.84,0.499,0.357,0.074,0.847
S030,129.65,0.312,0.517,0.032,0.823
S031,157.29,0.334,0.473,0.028,0.718
S032,128.15,0.403,0.389,0.034,0.774
S033,148.76,0.344,0.57,0.04,0.682
S034,104.06,0.385,0.446,0.043,0.753
S035,154.13,0.385,0.512,0.074,0.719
S036,157.45,0.311,0.519,0.027,0.782
S037,138.67,0.261,0.591,0.076,0.654
S038,146.34,0.279,0.541,0.103,0.631
S039,119.16,0.493,0.333,0.033,0.721
S040,152.63,0.354,0.592,0.042,0.712
S041,130.49,0.48,0.506,0.01,0.748
S042,132.76,0.517,0.504,0.085,0.694
S043,139.98,0.377,0.438,0.086,0.659
S044,153.83,0.28,0.582,0.037,0.719
S045,169.66,0.235,0.563,0.01,0.68
S046,121.2,0.331,0.617,0.122,0.579
S047,140.16,0.327,0.585,0.013,0.852
S048,145.12,0.343,0.457,0.067,0.662
S049,146.55,0.336,0.506,0.08,0.656
S050,120.54,0.434,0.454,0.064,0.829
