metric,tail_count,first,last,minimum,maximum,absolute_span,relative_span_to_last,slope_per_step
KinEng,10,0.23887458,0.17710437,0.17710437,0.23887458,0.06177020999999999,0.348778576158228,-4.852333857030636e-07
Lx,10,39.706189,37.820125,37.820125,39.706189,1.8860640000000046,0.04986932221932119,-1.4815899450117867e-05
Ly,10,39.706189,37.820125,37.820125,39.706189,1.8860640000000046,0.04986932221932119,-1.4815899450117867e-05
Lz,10,99.265473,94.550313,94.550313,99.265473,4.715159999999997,0.04986932195560259,-3.703974862529456e-05
PotEng,10,-26430.696,-34906.526,-34906.526,-26430.696,8475.829999999998,0.2428150541248361,-0.06658153967007069
Press,10,74.53903,99.999342,74.53903,99.999342,25.460312000000002,0.2546047952995531,0.00020000245090337785
Pzz,10,74.557517,100.01818,74.557517,100.01818,25.460662999999997,0.25456035092820123,0.0002000052081696779
Temp,10,536.0847,397.45938,397.45938,536.0847,138.62532,0.34877858461913763,-0.0010889655930871956
Volume,10,156500.11,135241.16,135241.16,156500.11,21258.949999999983,0.15719289896655708,-0.1669988216810682
c_ke_rot,10,0.035487268,0.088760868,0.035487268,0.088760868,0.053273600000000004,0.6001924181273216,4.1848860958366067e-07
c_mytemp,10,307.85563,298.32177,294.95189,307.85563,12.903740000000028,0.043254436308821934,-7.489285153181464e-05
