raw_step,dynamics_step,KinEng,Lx,Ly,Lz,PotEng,Press,Pzz,Temp,Volume,c_ke_rot,c_mytemp
287300,0,0.13367733,400.0,400.0,1000.0,-10.143711,7.0529801e-05,6.7097207e-05,300.0,160000000.0,0.0,149.99651
300000,12700,42.852669,68.852992,68.852992,172.13248,2139.8584,2.4817404,2.4815127,96170.385,816034.39,0.037456856,48126.105
315000,27700,21.617735,60.628899,60.628899,151.57225,-2395.2613,5.5203969,5.5283791,48514.736,557158.89,0.037399846,24298.77
330000,42700,11.841452,56.596867,56.596867,141.49217,-3974.9101,8.5281681,8.538639,26574.704,453228.48,0.032162681,13323.132
345000,57700,6.493341,53.930369,53.930369,134.82592,-5734.2272,11.531547,11.541959,14572.42,392139.13,0.031551347,7321.444
360000,72700,3.7355918,51.950313,51.950313,129.87578,-7481.7071,14.533464,14.543172,8383.4522,350513.31,0.030424526,4225.7674
375000,87700,2.3520652,50.385556,50.385556,125.96389,-9023.2713,17.534703,17.542222,5278.5281,319785.07,0.032295112,2675.4404
390000,102700,1.6405418,49.099958,49.099958,122.74989,-10384.781,20.535572,20.540855,3681.7203,295926.16,0.035046615,1880.1424
405000,117700,1.2398083,48.013919,48.013919,120.0348,-11590.765,23.536214,23.539949,2782.39,276720.59,0.03733959,1433.0607
420000,132700,0.98896077,47.077364,47.077364,117.69341,-12646.049,26.536708,26.539029,2219.4356,260841.34,0.038985257,1153.4365
435000,147700,0.81957525,46.256135,46.256135,115.64034,-13581.329,29.537095,29.538762,1839.2989,247427.54,0.040398811,964.95875
450000,162700,0.6993928,45.526254,45.526254,113.81564,-14447.963,32.537405,32.538795,1569.5843,235898.82,0.041241908,831.05058
465000,177700,0.61029584,44.870431,44.870431,112.17608,-15281.236,35.537659,35.539136,1369.632,225850.33,0.041453008,731.31363
480000,192700,0.54193456,44.27581,44.27581,110.68953,-16094.243,38.537873,38.539669,1216.2149,216989.92,0.04120877,654.33283
495000,207700,0.48737064,43.732488,43.732488,109.33122,-16892.51,41.538055,41.540767,1093.762,209099.29,0.040432351,592.23659
510000,222700,0.44152776,43.232764,43.232764,108.08191,-17686.183,44.538209,44.542476,990.881,202012.86,0.04063634,541.02617
525000,237700,0.40331901,42.770526,42.770526,106.92631,-18482.186,47.538342,47.544487,905.13252,195602.22,0.040430059,497.92146
540000,252700,0.37397633,42.340798,42.340798,105.85199,-19291.727,50.538456,50.546645,839.28141,189765.44,0.034987865,458.8901
555000,267700,0.34765419,41.939556,41.939556,104.84889,-20124.429,53.538557,53.548992,780.20898,184421.48,0.030694134,424.53667
570000,282700,0.32371877,41.563513,41.563513,103.90878,-20975.024,56.538648,56.551272,726.49289,179505.08,0.031123078,398.16055
585000,297700,0.30108689,41.209932,41.209932,103.02483,-21836.414,59.538731,59.553156,675.7022,174962.79,0.03652555,378.8278
600000,312700,0.282447,40.876373,40.876373,102.19093,-22717.194,62.538804,62.554491,633.87037,170748.56,0.039806011,361.59331
615000,327700,0.26647182,40.560853,40.560853,101.40213,-23619.307,65.538869,65.555425,598.0187,166825.04,0.042184739,346.33701
630000,342700,0.25290302,40.261648,40.261648,100.65412,-24531.171,68.538929,68.556126,567.56748,163160.36,0.043880173,333.01416
645000,357700,0.25622834,39.97714,39.97714,99.94285,-25471.624,71.538978,71.556895,575.03019,159725.84,0.021451569,311.57877
660000,372700,0.23887458,39.706189,39.706189,99.265473,-26430.696,74.53903,74.557517,536.0847,156500.11,0.035487268,307.85563
675000,387700,0.22517164,39.447635,39.447635,98.619088,-27401.37,77.539078,77.557865,505.33243,153462.73,0.047269295,305.70022
690000,402700,0.21504623,39.200501,39.200501,98.001254,-28368.693,80.539122,80.557935,482.60889,150596.5,0.055549343,303.62958
705000,417700,0.2074037,38.963839,38.963839,97.409599,-29336.135,83.539162,83.557752,465.45744,147885.38,0.061864806,302.1405
720000,432700,0.20103415,38.736839,38.736839,96.842097,-30321.152,86.5392,86.557625,451.16284,145315.7,0.06732629,301.12159
735000,447700,0.19500953,38.518785,38.518785,96.296962,-31324.898,89.539234,89.557696,437.64232,142875.49,0.072735184,300.43069
750000,462700,0.18798607,38.309074,38.309074,95.772685,-32340.003,92.539267,92.557758,421.88021,140554.57,0.079367757,299.99209
765000,477700,0.18477105,38.107135,38.107135,95.267837,-33357.51,95.539297,95.557892,414.66503,138343.55,0.078090935,294.95189
780000,492700,0.18028021,37.912407,37.912407,94.781017,-34398.627,98.539329,98.558067,404.58663,136233.55,0.087244458,300.18378
787300,500000,0.17710437,37.820125,37.820125,94.550313,-34906.526,99.999342,100.01818,397.45938,135241.16,0.088760868,298.32177
