step,strategy,seed,best_simulated_lifetime,best_reference_mean,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_policy_id,budget
0,random,0,1005.0,941.88,145.06000000000006,0,0,,30
1,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P045,30
2,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P053,30
3,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P174,30
4,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P196,30
5,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P101,30
6,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P172,30
7,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P168,30
8,random,0,1005.0,941.88,145.06000000000006,0,0,ATTIA_P025,30
9,random,0,1010.0,941.88,145.06000000000006,0,0,ATTIA_P148,30
10,random,0,1010.0,941.88,145.06000000000006,0,0,ATTIA_P036,30
11,random,0,1010.0,941.88,145.06000000000006,0,0,ATTIA_P186,30
12,random,0,1010.0,941.88,145.06000000000006,0,0,ATTIA_P030,30
13,random,0,1010.0,941.88,145.06000000000006,0,0,ATTIA_P200,30
14,random,0,1041.0,941.88,145.06000000000006,0,0,ATTIA_P116,30
15,random,0,1041.0,941.88,145.06000000000006,0,0,ATTIA_P002,30
16,random,0,1041.0,941.88,145.06000000000006,0,0,ATTIA_P092,30
17,random,0,1041.0,1026.3,60.6400000000001,1,1,ATTIA_P055,30
18,random,0,1041.0,1026.3,60.6400000000001,1,1,ATTIA_P005,30
19,random,0,1041.0,1026.3,60.6400000000001,1,1,ATTIA_P085,30
20,random,0,1041.0,1026.3,60.6400000000001,1,1,ATTIA_P170,30
21,random,0,1041.0,1026.3,60.6400000000001,1,1,ATTIA_P132,30
22,random,0,1041.0,1026.3,60.6400000000001,1,1,ATTIA_P062,30
23,random,0,1041.0,1026.3,60.6400000000001,1,1,ATTIA_P073,30
24,random,0,1126.0,1026.3,60.6400000000001,1,1,ATTIA_P076,30
25,random,0,1126.0,1026.3,60.6400000000001,1,1,ATTIA_P075,30
0,greedy,0,1005.0,941.88,145.06000000000006,0,0,,30
1,greedy,0,1031.0,941.88,145.06000000000006,0,0,ATTIA_P133,30
2,greedy,0,1031.0,941.88,145.06000000000006,0,0,ATTIA_P127,30
3,greedy,0,1031.0,941.88,145.06000000000006,0,0,ATTIA_P066,30
