policy_id,C1,C2,C3,C4,reference_true_lifetime,reference_mean_lifetime,reference_std_lifetime
ATTIA_P000,3.6,6.0,5.6,4.755,894,948.06,182.18004214266182
ATTIA_P001,3.6,7.0,5.2,4.537,776,773.7,178.95812416339646
ATTIA_P002,3.6,7.0,5.6,4.271,700,713.96,181.19286826529373
ATTIA_P003,4.0,5.2,5.6,4.707,971,966.98,165.1881413443965
ATTIA_P004,4.0,5.6,5.2,4.707,976,961.82,177.95730856997525
ATTIA_P005,4.0,5.6,5.6,4.421,843,818.1,141.4814114854611
ATTIA_P006,4.0,6.0,4.8,4.8,1000,1013.82,158.26182001186953
ATTIA_P007,4.0,6.0,5.2,4.457,953,935.38,158.43686568524154
ATTIA_P008,4.0,6.0,5.6,4.2,878,816.06,154.8014409572759
ATTIA_P009,4.0,7.0,4.4,4.69,788,783.98,165.1881413443965
ATTIA_P010,4.0,7.0,4.8,4.308,754,808.06,182.18004214266182
ATTIA_P011,4.0,7.0,5.2,4.03,758,748.32,148.23966254353255
ATTIA_P012,4.0,7.0,5.6,3.818,688,701.58,178.24909078967818
ATTIA_P013,4.4,4.8,5.6,4.563,923,908.82,177.95730856997525
ATTIA_P014,4.4,5.2,5.2,4.516,1036,1049.82,158.26182001186953
ATTIA_P015,4.4,5.2,5.6,4.252,883,865.38,158.43686568524154
ATTIA_P016,4.4,5.6,4.8,4.563,930,953.3,158.3115309013419
ATTIA_P017,4.4,5.6,5.2,4.252,886,881.98,165.1881413443965
ATTIA_P018,4.4,5.6,5.6,4.017,817,871.06,182.18004214266182
ATTIA_P019,4.4,6.0,4.4,4.714,961,941.88,155.01976700816354
ATTIA_P020,4.4,6.0,4.8,4.328,908,893.82,177.95730856997525
ATTIA_P021,4.4,6.0,5.2,4.047,918,893.1,141.4814114854611
ATTIA_P022,4.4,6.0,5.6,3.834,802,799.7,178.95812416339646
ATTIA_P023,4.4,7.0,4.0,4.69,795,808.82,158.26182001186953
ATTIA_P024,4.4,7.0,4.4,4.239,733,715.38,158.43686568524154
ATTIA_P025,4.4,7.0,4.8,3.924,705,643.06,154.8014409572759
