pair,source_library,destination_library,seed_index,run_seed,cold_start_regret,warm_prior_regret,paired_delta
Au-rich->Ir-rich,Au-rich,Ir-rich,0,42,0.0,0.0,0.0
Au-rich->Ir-rich,Au-rich,Ir-rich,1,43,0.0,0.0016240484278061008,0.0016240484278061008
Au-rich->Ir-rich,Au-rich,Ir-rich,2,44,0.0009125497287544998,0.0,-0.0009125497287544998
Au-rich->Ir-rich,Au-rich,Ir-rich,3,45,0.0,0.0009125497287544998,0.0009125497287544998
Au-rich->Ir-rich,Au-rich,Ir-rich,4,46,0.0,0.0,0.0
Au-rich->Ir-rich,Au-rich,Ir-rich,5,47,0.0,0.0009125497287544998,0.0009125497287544998
Au-rich->Ir-rich,Au-rich,Ir-rich,6,48,0.0,0.0,0.0
Au-rich->Ir-rich,Au-rich,Ir-rich,7,49,0.0,0.0,0.0
Au-rich->Ir-rich,Au-rich,Ir-rich,8,50,0.0,0.0,0.0
Au-rich->Ir-rich,Au-rich,Ir-rich,9,51,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,0,42,0.0,0.0003644906498241002,0.0003644906498241002
Au-rich->Rh-rich,Au-rich,Rh-rich,1,43,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,2,44,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,3,45,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,4,46,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,5,47,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,6,48,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,7,49,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,8,50,0.0,0.0,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,9,51,0.0,0.0,0.0
Ir-rich->Rh-rich,Ir-rich,Rh-rich,0,42,0.0,0.0021073090137505995,0.0021073090137505995
Ir-rich->Rh-rich,Ir-rich,Rh-rich,1,43,0.0,0.0018368270521916,0.0018368270521916
Ir-rich->Rh-rich,Ir-rich,Rh-rich,2,44,0.0,0.0006053917627509,0.0006053917627509
Ir-rich->Rh-rich,Ir-rich,Rh-rich,3,45,0.0,0.0007460397392813995,0.0007460397392813995
Ir-rich->Rh-rich,Ir-rich,Rh-rich,4,46,0.0,0.0,0.0
Ir-rich->Rh-rich,Ir-rich,Rh-rich,5,47,0.0,0.0,0.0
Ir-rich->Rh-rich,Ir-rich,Rh-rich,6,48,0.0,0.0007460397392813995,0.0007460397392813995
Ir-rich->Rh-rich,Ir-rich,Rh-rich,7,49,0.0,0.0,0.0
Ir-rich->Rh-rich,Ir-rich,Rh-rich,8,50,0.0,0.0007460397392813995,0.0007460397392813995
Ir-rich->Rh-rich,Ir-rich,Rh-rich,9,51,0.0,0.0003644906498241002,0.0003644906498241002
Rh-rich->Ir-rich,Rh-rich,Ir-rich,0,42,0.0,0.0,0.0
Rh-rich->Ir-rich,Rh-rich,Ir-rich,1,43,0.0,0.0,0.0
Rh-rich->Ir-rich,Rh-rich,Ir-rich,2,44,0.0009125497287544998,0.0031138966423010003,0.0022013469135465005
Rh-rich->Ir-rich,Rh-rich,Ir-rich,3,45,0.0,0.0009125497287544998,0.0009125497287544998
Rh-rich->Ir-rich,Rh-rich,Ir-rich,4,46,0.0,0.0031138966423010003,0.0031138966423010003
Rh-rich->Ir-rich,Rh-rich,Ir-rich,5,47,0.0,0.0,0.0
Rh-rich->Ir-rich,Rh-rich,Ir-rich,6,48,0.0,0.0,0.0
Rh-rich->Ir-rich,Rh-rich,Ir-rich,7,49,0.0,0.0031138966423010003,0.0031138966423010003
Rh-rich->Ir-rich,Rh-rich,Ir-rich,8,50,0.0,0.0,0.0
Rh-rich->Ir-rich,Rh-rich,Ir-rich,9,51,0.0,0.002786984703102501,0.002786984703102501
