run_seed,target,strategy,iteration,selected_sample_id,library,area,Au,Ir,Rh,observed_target,best_observed,global_best,regret,relative_regret,percent_deviation,acquisition_score,benchmark_mode
42,k0,random,1,AUIRH_Rh-rich_033,Rh-rich,33,14.66,42.46,42.88,0.0044143808593374,0.0044143808593374,0.0074476279582536,0.0030332470989162,0.40727693648481716,40.72769364848172,0.0,Rh-rich
42,k0,random,2,AUIRH_Rh-rich_034,Rh-rich,34,14.04,39.89,46.07,0.0044600910623966,0.0044600910623966,0.0074476279582536,0.0029875368958569995,0.40113938459374243,40.113938459374246,0.4388784397520523,Rh-rich
42,k0,random,3,AUIRH_Rh-rich_260,Rh-rich,260,15.35,9.29,75.36,0.0053339743011556,0.0053339743011556,0.0074476279582536,0.002113653657098,0.28380226146441834,28.380226146441835,0.8585979199113825,Rh-rich
42,k0,random,4,AUIRH_Rh-rich_032,Rh-rich,32,15.24,44.33,40.43,0.0039713276071692,0.0053339743011556,0.0074476279582536,0.002113653657098,0.28380226146441834,28.380226146441835,0.09417734788764953,Rh-rich
42,k0,random,5,AUIRH_Rh-rich_235,Rh-rich,235,22.49,15.03,62.48,0.0041080426249454,0.0053339743011556,0.0074476279582536,0.002113653657098,0.28380226146441834,28.380226146441835,0.9756223516367559,Rh-rich
42,k0,random,6,AUIRH_Rh-rich_248,Rh-rich,248,34.62,21.74,43.64,0.0021207519260626,0.0053339743011556,0.0074476279582536,0.002113653657098,0.28380226146441834,28.380226146441835,0.7860643052769538,Rh-rich
42,k0,random,7,AUIRH_Rh-rich_256,Rh-rich,256,21.16,13.09,65.75,0.0042135452889193,0.0053339743011556,0.0074476279582536,0.002113653657098,0.28380226146441834,28.380226146441835,0.12811363267554587,Rh-rich
42,k0,random,8,AUIRH_Rh-rich_284,Rh-rich,284,39.46,19.0,41.54,0.0015723716594997,0.0053339743011556,0.0074476279582536,0.002113653657098,0.28380226146441834,28.380226146441835,0.37079802423258124,Rh-rich
42,k0,random,9,AUIRH_Rh-rich_155,Rh-rich,155,13.91,16.25,69.84,0.0060836793957464,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.9267649888486018,Rh-rich
42,k0,random,10,AUIRH_Rh-rich_263,Rh-rich,263,42.97,22.71,34.33,0.0009146452899956,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.82276161327083,Rh-rich
42,k0,random,11,AUIRH_Rh-rich_215,Rh-rich,215,19.36,15.53,65.11,0.0041629049721948,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.44341419882733113,Rh-rich
42,k0,random,12,AUIRH_Rh-rich_154,Rh-rich,154,14.44,17.19,68.37,0.0052655017695215,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.5545847870158348,Rh-rich
42,k0,random,13,AUIRH_Rh-rich_084,Rh-rich,84,19.78,37.72,42.49,0.0030548494545802,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.06381725610417532,Rh-rich
42,k0,random,14,AUIRH_Rh-rich_291,Rh-rich,291,26.81,12.42,60.77,0.0037480366384422,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.6316643991220648,Rh-rich
42,k0,random,15,AUIRH_Rh-rich_277,Rh-rich,277,19.42,9.9,70.68,0.0047773258174135,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.7580877400853738,Rh-rich
42,k0,random,16,AUIRH_Rh-rich_233,Rh-rich,233,25.2,18.09,56.71,0.0031960810137958,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.9706980243949033,Rh-rich
42,k0,random,17,AUIRH_Rh-rich_123,Rh-rich,123,23.8,36.51,39.69,0.0023218880754438,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.8931211213221977,Rh-rich
42,k0,random,18,AUIRH_Rh-rich_225,Rh-rich,225,37.02,26.75,36.23,0.0015192588548955,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.19463870785196757,Rh-rich
42,k0,random,19,AUIRH_Rh-rich_261,Rh-rich,261,46.08,24.09,29.82,0.0004324136272056,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.4667210037270342,Rh-rich
42,k0,random,20,AUIRH_Rh-rich_168,Rh-rich,168,24.0,26.41,49.59,0.0030932490388815,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.15428949206754783,Rh-rich
42,k0,random,21,AUIRH_Rh-rich_015,Rh-rich,15,14.67,53.03,32.3,0.003685580713901,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.6830489532424546,Rh-rich
42,k0,random,22,AUIRH_Rh-rich_318,Rh-rich,318,35.45,12.19,52.36,0.0026200059021081,0.0060836793957464,0.0074476279582536,0.0013639485625072,0.18313865436788457,18.313865436788458,0.96750973243421,Rh-rich
