cell_id,recipe_id,partition,discharge_specific_capacity_cycle30_mah_g,cell_capacity_mah,active_mass_mg,electrode_thickness_um,porosity_pct,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,active_material_fraction_pct,binder_cmc_fraction_pct,binder_sbr_fraction_pct,conductive_additive_fraction_pct,mixing_solids_pct
ASC-1,protocol-e6dca5667719,PROSPECTIVE_MODEL_VALIDATION,325.42379095162227,5.36891547349633,14.432568477140672,81.0,45.15,0.2,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-2,protocol-e6dca5667719,PROSPECTIVE_MODEL_VALIDATION,270.4070027339294,5.450639534310636,14.652256812663,78.8,42.54,0.2,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-3,protocol-e6dca5667719,PROSPECTIVE_MODEL_VALIDATION,219.41002005545124,5.386681573673353,14.480326810949872,83.3,46.67,0.2,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-4,protocol-c580a8bc94f8,PROSPECTIVE_MODEL_VALIDATION,,4.487716904715993,12.06375512020428,78.5,52.75,0.2,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-5,protocol-c580a8bc94f8,PROSPECTIVE_MODEL_VALIDATION,,5.326276833071474,14.317948475998588,94.9,54.4,0.2,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-6,protocol-c580a8bc94f8,PROSPECTIVE_MODEL_VALIDATION,197.28707091612867,5.322723613036071,14.308396809236749,93.2,53.51,0.2,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-7,protocol-e6dca5667719,PROSPECTIVE_MODEL_VALIDATION,,5.6283005360808644,15.129840150755012,100.3,54.6,0.2,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-8,protocol-e6dca5667719,PROSPECTIVE_MODEL_VALIDATION,205.15099990728407,5.727790697072193,15.397286820086538,103.6,55.39,0.2,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-9,protocol-e6dca5667719,PROSPECTIVE_MODEL_VALIDATION,,5.631853756116269,15.13939181751685,98.7,53.76,0.2,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-10,protocol-c580a8bc94f8,PROSPECTIVE_MODEL_VALIDATION,,5.742003577213812,15.435493487133904,83.9,43.52,0.2,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-11,protocol-c580a8bc94f8,PROSPECTIVE_MODEL_VALIDATION,288.29586347847334,5.511044274912512,14.81463514761428,82.0,44.43,0.2,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-12,protocol-c580a8bc94f8,PROSPECTIVE_MODEL_VALIDATION,244.41680638723585,5.528810375089536,14.862393481423485,81.5,43.87,0.2,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-13,protocol-9ecd72d3534a,PROSPECTIVE_MODEL_VALIDATION,312.00043821764984,5.9054516988424215,15.87487015817855,85.1,42.79,0.4,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-14,protocol-9ecd72d3534a,PROSPECTIVE_MODEL_VALIDATION,0.009220242949707344,5.742003577213812,15.435493487133904,85.5,44.7,0.4,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-15,protocol-9ecd72d3534a,PROSPECTIVE_MODEL_VALIDATION,109.05295724609567,5.830834078098927,15.674285156179911,85.4,43.75,0.4,150.0,60.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-16,protocol-1839e8c24871,PROSPECTIVE_MODEL_VALIDATION,277.28513443010524,5.784642217638667,15.550113488275986,105.6,55.87,0.4,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-17,protocol-1839e8c24871,PROSPECTIVE_MODEL_VALIDATION,312.80197673759494,5.862813058417568,15.760250157036472,105.1,55.03,0.4,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-18,protocol-1839e8c24871,PROSPECTIVE_MODEL_VALIDATION,115.16687292641792,5.6460666362578875,15.177598484564214,99.6,54.1,0.4,150.0,60.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-19,protocol-baa76da6d242,PROSPECTIVE_MODEL_VALIDATION,238.01395290288065,5.539470035195751,14.891048481709007,80.4,42.89,0.4,150.0,80.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-20,protocol-baa76da6d242,PROSPECTIVE_MODEL_VALIDATION,283.40536986294507,5.525257155054131,14.852841814661645,78.3,41.31,0.4,150.0,80.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-21,protocol-baa76da6d242,PROSPECTIVE_MODEL_VALIDATION,259.2467246333523,5.845046958240545,15.712491823227271,78.5,38.01,0.4,150.0,80.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-22,protocol-3f904a5bb8ed,PROSPECTIVE_MODEL_VALIDATION,,5.550129695301963,14.919703481994524,97.7,53.94,0.4,150.0,80.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-23,protocol-3f904a5bb8ed,PROSPECTIVE_MODEL_VALIDATION,288.12304260885725,5.635406976151674,15.148943484278693,100.3,54.54,0.4,150.0,80.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-24,protocol-3f904a5bb8ed,PROSPECTIVE_MODEL_VALIDATION,,5.436426654169017,14.614050145615638,99.4,55.75,0.4,150.0,80.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-25,protocol-baa76da6d242,PROSPECTIVE_MODEL_VALIDATION,95.8651558113691,4.445078264291137,11.949135119062197,82.0,55.45,0.4,150.0,80.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-26,protocol-baa76da6d242,PROSPECTIVE_MODEL_VALIDATION,278.62029643556576,4.903443648858331,13.181300131339597,89.7,55.42,0.4,150.0,80.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-27,protocol-baa76da6d242,PROSPECTIVE_MODEL_VALIDATION,241.0621363358229,4.7151229869818865,12.67506179296206,85.9,55.06,0.4,150.0,80.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-28,protocol-3f904a5bb8ed,PROSPECTIVE_MODEL_VALIDATION,293.51862990649215,5.081104650628558,13.65888346943161,69.3,38.11,0.4,150.0,80.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-29,protocol-3f904a5bb8ed,PROSPECTIVE_MODEL_VALIDATION,321.94974814435983,5.201914131832314,13.98364013933418,66.7,33.74,0.4,150.0,80.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-30,protocol-3f904a5bb8ed,PROSPECTIVE_MODEL_VALIDATION,,5.166381931478268,13.888123471715776,68.2,35.87,0.4,150.0,80.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-31,protocol-a4fcf0522485,PROSPECTIVE_MODEL_VALIDATION,271.5261588753146,5.770429337497048,15.511906821228624,103.0,54.77,0.4,150.0,100.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-32,protocol-a4fcf0522485,PROSPECTIVE_MODEL_VALIDATION,328.85142197155227,5.379575133602544,14.461223477426195,100.4,56.71,0.4,150.0,100.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-33,protocol-a4fcf0522485,PROSPECTIVE_MODEL_VALIDATION,196.39338175124212,5.457745974381444,14.671360146186679,96.7,54.21,0.4,150.0,100.0,0.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-34,protocol-909c4376d5ef,PROSPECTIVE_MODEL_VALIDATION,324.1942915631988,5.543023255231153,14.900600148470843,76.1,38.11,0.4,150.0,100.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-35,protocol-909c4376d5ef,PROSPECTIVE_MODEL_VALIDATION,,5.869919498488378,15.779353490560155,75.7,35.13,0.4,150.0,100.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-36,protocol-909c4376d5ef,PROSPECTIVE_MODEL_VALIDATION,164.17185815859517,5.66383273643491,15.225356818373413,75.6,37.36,0.4,150.0,100.0,1.0,95.51666761840285,1.5109583373109667,2.2483472786353778,1.0157792960188368,49.5
ASC-37,protocol-7acc4561b3f7,PROSPECTIVE_MODEL_VALIDATION,325.1309997214267,4.184215500526283,11.247891130446996,78.0,55.71,0.1,150.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-38,protocol-7acc4561b3f7,PROSPECTIVE_MODEL_VALIDATION,361.1353881051858,4.2019302147537445,11.295511329983183,78.4,55.78,0.1,150.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-39,protocol-7acc4561b3f7,PROSPECTIVE_MODEL_VALIDATION,262.8989875682855,4.495994470929595,12.086006642283857,82.7,55.35,0.1,150.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-40,protocol-0d38055e23a7,PROSPECTIVE_MODEL_VALIDATION,361.41291223751773,4.123985472152916,11.085982452023968,60.6,41.66,0.1,150.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-41,protocol-0d38055e23a7,PROSPECTIVE_MODEL_VALIDATION,340.79126864517514,4.1735866719898045,11.219319010725282,62.1,42.61,0.1,150.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-42,protocol-0d38055e23a7,PROSPECTIVE_MODEL_VALIDATION,361.4048673750176,4.088556043697993,10.990742052951596,63.7,45.46,0.1,150.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-43,protocol-f3ae9bcb49de,PROSPECTIVE_MODEL_VALIDATION,,4.2196449289812055,11.343131529519368,65.9,45.83,0.2,150.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-44,protocol-f3ae9bcb49de,PROSPECTIVE_MODEL_VALIDATION,,4.386163242719337,11.79076140515951,64.3,41.99,0.2,150.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-45,protocol-f3ae9bcb49de,PROSPECTIVE_MODEL_VALIDATION,,4.407420899792291,11.847905644602932,65.2,42.63,0.2,150.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-46,protocol-899621a76f90,PROSPECTIVE_MODEL_VALIDATION,0.004959219379456635,4.322390271500478,11.619328686829242,80.9,56.05,0.2,150.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
