recipe_id,discharge_specific_capacity_cycle30_mah_g,std_d30_specific_capacity,replicate_count,mean_active_mass_mg,cell_ids,active_material_fraction_pct,conductive_additive_fraction_pct,binder_cmc_fraction_pct,binder_sbr_fraction_pct,mixing_solids_pct,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied
protocol-d3602183e567,402.2490501560316,1.7576851092313879,3,7.701773604985722,"ASC-52,ASC-53,ASC-54",95.24039907237083,1.00683784422711,1.501569040251631,2.2511940431504245,49.5,0.2,100.0,60.0,1.0
protocol-fd150c39c22f,392.50999261021303,1.253921756752441,3,8.149403480625864,"ASC-58,ASC-59,ASC-60",95.24039907237083,1.00683784422711,1.501569040251631,2.2511940431504245,49.5,0.4,100.0,60.0,0.0
protocol-04acc12b3f71,384.30968398649003,0.6848343269083443,3,7.828760803748885,"ASC-61,ASC-62,ASC-63",95.24039907237083,1.00683784422711,1.501569040251631,2.2511940431504245,49.5,0.4,100.0,60.0,1.0
protocol-0d38055e23a7,354.53634941923684,9.719240378207319,3,11.098681171900282,"ASC-40,ASC-41,ASC-42",95.24039907237083,1.00683784422711,1.501569040251631,2.2511940431504245,49.5,0.1,150.0,60.0,1.0
protocol-7acc4561b3f7,316.38845846496605,40.57849691915875,3,11.543136367571345,"ASC-37,ASC-38,ASC-39",95.24039907237083,1.00683784422711,1.501569040251631,2.2511940431504245,49.5,0.1,150.0,60.0,0.0
protocol-3f904a5bb8ed,301.1971402199031,14.838713832882522,6,14.368890698728402,"ASC-22,ASC-23,ASC-24,ASC-28,ASC-29,ASC-30",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.4,150.0,80.0,1.0
protocol-e025bc31c00a,282.06642329048975,32.24299508659324,3,18.584847370598368,"ASC-55,ASC-56,ASC-57",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.2,200.0,60.0,0.0
protocol-a4fcf0522485,265.59032086603634,54.23841648626073,3,14.881496814947164,"ASC-31,ASC-32,ASC-33",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.4,150.0,100.0,0.0
protocol-c1c280b7366f,263.887740480095,186.56237523091707,3,7.476371327181112,"ASC-49,ASC-50,ASC-51",95.24039907237083,1.00683784422711,1.501569040251631,2.2511940431504245,49.5,0.2,100.0,60.0,0.0
protocol-e6dca5667719,255.09795341207175,47.29803687378138,6,14.871945148185324,"ASC-1,ASC-2,ASC-3,ASC-7,ASC-8,ASC-9",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.2,150.0,60.0,0.0
protocol-909c4376d5ef,244.183074860897,80.01121670230182,3,15.301770152468137,"ASC-34,ASC-35,ASC-36",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.4,150.0,100.0,1.0
protocol-c580a8bc94f8,243.3332469272793,37.162083335405335,6,14.300437086935213,"ASC-4,ASC-5,ASC-6,ASC-10,ASC-11,ASC-12",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.2,150.0,60.0,1.0
protocol-899621a76f90,241.91474467651884,171.2601112821295,3,11.581232527200294,"ASC-46,ASC-47,ASC-48",95.24039907237083,1.00683784422711,1.501569040251631,2.2511940431504245,49.5,0.2,150.0,60.0,1.0
protocol-1839e8c24871,235.08466136470602,86.025455573031,3,15.495987376625557,"ASC-16,ASC-17,ASC-18",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.4,150.0,60.0,1.0
protocol-baa76da6d242,232.70227266365598,63.51689370962283,6,13.876979860493629,"ASC-19,ASC-20,ASC-21,ASC-25,ASC-26,ASC-27",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.4,150.0,80.0,0.0
protocol-d11da8063996,171.50051077622163,83.96548037883552,3,18.987899900664285,"ASC-67,ASC-68,ASC-69",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.2,200.0,80.0,0.0
protocol-ee2af7cf9785,153.81910494683774,63.234084684579805,3,17.90886163119648,"ASC-76,ASC-77,ASC-78",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.2,200.0,70.0,1.0
protocol-9ecd72d3534a,140.35420523556508,129.2786554117575,3,15.661549600497457,"ASC-13,ASC-14,ASC-15",95.51666761840285,1.0157792960188368,1.5109583373109667,2.2483472786353778,49.5,0.4,150.0,60.0,0.0
protocol-95a0b3eea94d,115.71076742044022,27.297668646060295,3,18.52137453121791,"ASC-82,ASC-83,ASC-84",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.4,200.0,100.0,0.0
protocol-cd579bfa2fd9,112.07934514056751,2.540819109158626,3,18.283351383541188,"ASC-64,ASC-65,ASC-66",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.2,200.0,60.0,1.0
protocol-97cf6d7c9463,112.04755747464391,90.6458003272066,3,18.626104716195666,"ASC-91,ASC-92,ASC-93",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.4,200.0,80.0,1.0
protocol-23509c88f8bf,111.89468899336458,86.57564368279259,3,19.14975564108445,"ASC-79,ASC-80,ASC-81",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.4,200.0,80.0,0.0
protocol-24f5e9663c2b,100.67138245647207,0.0,3,16.829823361728682,"ASC-70,ASC-71,ASC-72",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.2,200.0,80.0,1.0
protocol-13e1eec891e3,93.1033733298965,0.0,3,18.740355827080492,"ASC-85,ASC-86,ASC-87",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.4,200.0,90.0,0.0
protocol-f4f7ce9330b4,60.0603638413372,0.0,3,17.439162619781083,"ASC-73,ASC-74,ASC-75",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.2,200.0,70.0,0.0
protocol-c005aa958750,41.53641434929186,3.052966283639416,3,18.070717371616652,"ASC-88,ASC-89,ASC-90",95.20925907068835,1.0063031132599178,1.5090489025054978,2.275388913546235,49.5,0.4,200.0,90.0,1.0
