recipe_id,recipe_eligibility_status,total_replicates,valid_d30_replicates,zero_d30_replicates,missing_d30_replicates,mean_d30_specific_capacity_mah_g,std_d30_specific_capacity_mah_g,mean_active_mass_mg,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,cell_ids
protocol-c1c280b7366f,STRICT_COMPLETE_RECIPE,3,3,0,0,402.25,1.76,7.7,0.2,100.0,60.0,False,ASC-52;ASC-53;ASC-54
protocol-fd150c39c22f,STRICT_COMPLETE_RECIPE,3,3,0,0,392.51,1.25,8.15,0.4,100.0,60.0,False,ASC-58;ASC-59;ASC-60
protocol-0d38055e23a7,STRICT_COMPLETE_RECIPE,3,3,0,0,354.54,9.72,11.1,0.1,150.0,60.0,True,ASC-40;ASC-41;ASC-42
protocol-7acc4561b3f7,STRICT_COMPLETE_RECIPE,3,3,0,0,316.39,40.58,11.54,0.1,150.0,60.0,False,ASC-37;ASC-38;ASC-39
protocol-a4fcf0522485,STRICT_COMPLETE_RECIPE,3,3,0,0,265.59,54.24,14.88,0.4,150.0,100.0,False,ASC-31;ASC-32;ASC-33
protocol-d3602183e567,STRICT_COMPLETE_RECIPE,3,3,0,0,263.89,186.56,7.48,0.2,100.0,60.0,True,ASC-49;ASC-50;ASC-51
protocol-f3ae9bcb49de,STRICT_COMPLETE_RECIPE,3,3,0,0,241.91,171.26,11.58,0.2,150.0,60.0,False,ASC-46;ASC-47;ASC-48
protocol-9ecd72d3534a,STRICT_COMPLETE_RECIPE,3,3,0,0,235.08,86.03,15.5,0.4,150.0,60.0,False,ASC-16;ASC-17;ASC-18
protocol-1839e8c24871,STRICT_COMPLETE_RECIPE,3,3,0,0,140.35,129.28,15.66,0.4,150.0,60.0,True,ASC-13;ASC-14;ASC-15
protocol-95a0b3eea94d,STRICT_COMPLETE_RECIPE,3,3,0,0,115.71,27.3,18.52,0.4,200.0,100.0,False,ASC-82;ASC-83;ASC-84
protocol-23509c88f8bf,STRICT_COMPLETE_RECIPE,3,3,0,0,111.89,86.58,19.15,0.4,200.0,80.0,False,ASC-79;ASC-80;ASC-81
protocol-c005aa958750,STRICT_COMPLETE_RECIPE,3,3,0,0,41.54,3.05,18.07,0.4,200.0,90.0,True,ASC-88;ASC-89;ASC-90
protocol-04acc12b3f71,PARTIAL_D30,3,2,0,1,384.31,0.68,7.83,0.4,100.0,60.0,True,ASC-61;ASC-62;ASC-63
protocol-e025bc31c00a,PARTIAL_D30,3,2,0,1,282.07,32.24,18.58,0.2,200.0,60.0,False,ASC-55;ASC-56;ASC-57
protocol-3f904a5bb8ed,PARTIAL_D30,6,5,0,1,279.23,28.79,14.5,0.4,150.0,80.0,True,ASC-19;ASC-20;ASC-21;ASC-28;ASC-29;ASC-30
protocol-c580a8bc94f8,PARTIAL_D30,6,5,0,1,269.59,36.39,14.78,0.2,150.0,60.0,True,ASC-1;ASC-2;ASC-3;ASC-10;ASC-11;ASC-12
protocol-909c4376d5ef,PARTIAL_D30,3,2,0,1,244.18,80.01,15.3,0.4,150.0,100.0,True,ASC-34;ASC-35;ASC-36
protocol-baa76da6d242,PARTIAL_D30,6,4,0,2,225.92,77.12,13.75,0.4,150.0,80.0,False,ASC-22;ASC-23;ASC-24;ASC-25;ASC-26;ASC-27
protocol-e6dca5667719,PARTIAL_D30,6,2,0,4,201.22,3.93,14.39,0.2,150.0,60.0,False,ASC-4;ASC-5;ASC-6;ASC-7;ASC-8;ASC-9
protocol-d11da8063996,PARTIAL_D30,3,2,0,1,171.5,83.97,18.99,0.2,200.0,80.0,False,ASC-67;ASC-68;ASC-69
protocol-ee2af7cf9785,PARTIAL_D30,3,2,0,1,153.82,63.23,17.91,0.2,200.0,70.0,True,ASC-76;ASC-77;ASC-78
protocol-cd579bfa2fd9,PARTIAL_D30,3,2,0,1,112.08,2.54,18.28,0.2,200.0,60.0,True,ASC-64;ASC-65;ASC-66
protocol-97cf6d7c9463,PARTIAL_D30,3,2,0,1,112.05,90.65,18.63,0.4,200.0,80.0,True,ASC-91;ASC-92;ASC-93
protocol-24f5e9663c2b,PARTIAL_D30,3,1,0,2,100.67,0.0,16.83,0.2,200.0,80.0,True,ASC-70;ASC-71;ASC-72
protocol-13e1eec891e3,PARTIAL_D30,3,1,0,2,93.1,0.0,18.74,0.4,200.0,90.0,False,ASC-85;ASC-86;ASC-87
protocol-f4f7ce9330b4,PARTIAL_D30,3,1,0,2,60.06,0.0,17.44,0.2,200.0,70.0,False,ASC-73;ASC-74;ASC-75
protocol-899621a76f90,NO_D30,3,0,0,3,0.0,0.0,11.66,0.2,150.0,60.0,True,ASC-43;ASC-44;ASC-45
protocol-0b295d2cd995,NO_D30,3,0,0,3,0.0,0.0,31.75,0.1,300.0,60.0,False,ASC-97;ASC-98;ASC-99
protocol-8987788b5670,NO_D30,3,0,0,3,0.0,0.0,27.05,0.1,300.0,80.0,False,ASC-94;ASC-95;ASC-96
protocol-7cb073ec1866,NO_D30,3,0,0,3,0.0,0.0,28.07,0.1,300.0,80.0,True,ASC-106;ASC-107;ASC-108
protocol-b77c91e48a60,NO_D30,3,0,0,3,0.0,0.0,25.41,0.2,300.0,80.0,False,ASC-100;ASC-101;ASC-102
protocol-26a54fa79165,NO_D30,3,0,0,3,0.0,0.0,26.36,0.2,300.0,80.0,True,ASC-103;ASC-104;ASC-105
