recipe_id,recipe_eligibility_status,total_replicates,valid_d30_replicates,zero_d30_replicates,missing_d30_replicates,mean_d30_specific_capacity_mah_g,std_d30_specific_capacity_mah_g,mean_active_mass_mg,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,cell_ids
protocol-c1c280b7366f,STRICT_COMPLETE_RECIPE,3,3,0,0,402.25,1.76,7.7,0.2,100.0,60.0,False,ASC-52;ASC-53;ASC-54
protocol-fd150c39c22f,STRICT_COMPLETE_RECIPE,3,3,0,0,392.51,1.25,8.15,0.4,100.0,60.0,False,ASC-58;ASC-59;ASC-60
protocol-0d38055e23a7,STRICT_COMPLETE_RECIPE,3,3,0,0,354.54,9.72,11.1,0.1,150.0,60.0,True,ASC-40;ASC-41;ASC-42
protocol-7acc4561b3f7,STRICT_COMPLETE_RECIPE,3,3,0,0,316.39,40.58,11.54,0.1,150.0,60.0,False,ASC-37;ASC-38;ASC-39
protocol-a4fcf0522485,STRICT_COMPLETE_RECIPE,3,3,0,0,265.59,54.24,14.88,0.4,150.0,100.0,False,ASC-31;ASC-32;ASC-33
protocol-d3602183e567,STRICT_COMPLETE_RECIPE,3,3,0,0,263.89,186.56,7.48,0.2,100.0,60.0,True,ASC-49;ASC-50;ASC-51
protocol-f3ae9bcb49de,STRICT_COMPLETE_RECIPE,3,3,0,0,241.91,171.26,11.58,0.2,150.0,60.0,False,ASC-46;ASC-47;ASC-48
protocol-9ecd72d3534a,STRICT_COMPLETE_RECIPE,3,3,0,0,235.08,86.03,15.5,0.4,150.0,60.0,False,ASC-16;ASC-17;ASC-18
protocol-1839e8c24871,STRICT_COMPLETE_RECIPE,3,3,0,0,140.35,129.28,15.66,0.4,150.0,60.0,True,ASC-13;ASC-14;ASC-15
protocol-95a0b3eea94d,STRICT_COMPLETE_RECIPE,3,3,0,0,115.71,27.3,18.52,0.4,200.0,100.0,False,ASC-82;ASC-83;ASC-84
protocol-23509c88f8bf,STRICT_COMPLETE_RECIPE,3,3,0,0,111.89,86.58,19.15,0.4,200.0,80.0,False,ASC-79;ASC-80;ASC-81
protocol-c005aa958750,STRICT_COMPLETE_RECIPE,3,3,0,0,41.54,3.05,18.07,0.4,200.0,90.0,True,ASC-88;ASC-89;ASC-90
