recipe_id,recipe_eligibility_status,total_replicates,valid_d30_replicates,zero_d30_replicates,missing_d30_replicates,mean_d30_specific_capacity_mah_g,std_d30_specific_capacity_mah_g,mean_active_mass_mg,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,cell_ids
protocol-04acc12b3f71,PARTIAL_D30,3,2,0,1,384.31,0.68,7.83,0.4,100.0,60.0,True,ASC-61;ASC-62;ASC-63
protocol-e025bc31c00a,PARTIAL_D30,3,2,0,1,282.07,32.24,18.58,0.2,200.0,60.0,False,ASC-55;ASC-56;ASC-57
protocol-3f904a5bb8ed,PARTIAL_D30,6,5,0,1,279.23,28.79,14.5,0.4,150.0,80.0,True,ASC-19;ASC-20;ASC-21;ASC-28;ASC-29;ASC-30
protocol-c580a8bc94f8,PARTIAL_D30,6,5,0,1,269.59,36.39,14.78,0.2,150.0,60.0,True,ASC-1;ASC-2;ASC-3;ASC-10;ASC-11;ASC-12
protocol-909c4376d5ef,PARTIAL_D30,3,2,0,1,244.18,80.01,15.3,0.4,150.0,100.0,True,ASC-34;ASC-35;ASC-36
protocol-baa76da6d242,PARTIAL_D30,6,4,0,2,225.92,77.12,13.75,0.4,150.0,80.0,False,ASC-22;ASC-23;ASC-24;ASC-25;ASC-26;ASC-27
protocol-e6dca5667719,PARTIAL_D30,6,2,0,4,201.22,3.93,14.39,0.2,150.0,60.0,False,ASC-4;ASC-5;ASC-6;ASC-7;ASC-8;ASC-9
protocol-d11da8063996,PARTIAL_D30,3,2,0,1,171.5,83.97,18.99,0.2,200.0,80.0,False,ASC-67;ASC-68;ASC-69
protocol-ee2af7cf9785,PARTIAL_D30,3,2,0,1,153.82,63.23,17.91,0.2,200.0,70.0,True,ASC-76;ASC-77;ASC-78
protocol-cd579bfa2fd9,PARTIAL_D30,3,2,0,1,112.08,2.54,18.28,0.2,200.0,60.0,True,ASC-64;ASC-65;ASC-66
protocol-97cf6d7c9463,PARTIAL_D30,3,2,0,1,112.05,90.65,18.63,0.4,200.0,80.0,True,ASC-91;ASC-92;ASC-93
protocol-24f5e9663c2b,PARTIAL_D30,3,1,0,2,100.67,0.0,16.83,0.2,200.0,80.0,True,ASC-70;ASC-71;ASC-72
protocol-13e1eec891e3,PARTIAL_D30,3,1,0,2,93.1,0.0,18.74,0.4,200.0,90.0,False,ASC-85;ASC-86;ASC-87
protocol-f4f7ce9330b4,PARTIAL_D30,3,1,0,2,60.06,0.0,17.44,0.2,200.0,70.0,False,ASC-73;ASC-74;ASC-75
protocol-899621a76f90,NO_D30,3,0,0,3,0.0,0.0,11.66,0.2,150.0,60.0,True,ASC-43;ASC-44;ASC-45
protocol-0b295d2cd995,NO_D30,3,0,0,3,0.0,0.0,31.75,0.1,300.0,60.0,False,ASC-97;ASC-98;ASC-99
protocol-8987788b5670,NO_D30,3,0,0,3,0.0,0.0,27.05,0.1,300.0,80.0,False,ASC-94;ASC-95;ASC-96
protocol-7cb073ec1866,NO_D30,3,0,0,3,0.0,0.0,28.07,0.1,300.0,80.0,True,ASC-106;ASC-107;ASC-108
protocol-b77c91e48a60,NO_D30,3,0,0,3,0.0,0.0,25.41,0.2,300.0,80.0,False,ASC-100;ASC-101;ASC-102
protocol-26a54fa79165,NO_D30,3,0,0,3,0.0,0.0,26.36,0.2,300.0,80.0,True,ASC-103;ASC-104;ASC-105
