benchmark_task,policy,engine_path,num_seeds,hit_rate_step_1,hit_rate_step_3,hit_rate_step_5,top3_hit_rate_step_5,mean_simple_regret,std_simple_regret,mean_cumulative_regret,std_cumulative_regret,mean_experiments_to_best
UNCONSTRAINED_D30,AICOSCIENTIST_PROCESS_SURROGATE,AICOSCIENTIST_PROCESS_SURROGATE,10,0.3,0.5,1.0,1.0,0.0,0.0,97.32722861251183,69.96207951924832,2.8
UNCONSTRAINED_D30,DIRECT_BOTORCH_BASELINE,DIRECT_BOTORCH_BASELINE,10,0.2,0.3,0.3,1.0,10.614704601170626,13.11059771780983,142.72153186946394,90.21131656312133,1.3333333333333333
UNCONSTRAINED_D30,random,RANDOM_BASELINE,10,0.2,0.3,0.3,0.8,14.412068920268245,17.17606627541965,178.64274969363237,141.6955055309396,1.3333333333333333
UNCONSTRAINED_D30,aicointel_greedy,AICOSCIENTIST_PROCESS_SURROGATE,10,0.3,0.5,1.0,1.0,0.0,0.0,97.32722861251183,69.96207951924832,2.8
UNCONSTRAINED_D30,aicointel_ucb,AICOSCIENTIST_PROCESS_SURROGATE,10,0.3,0.5,1.0,1.0,0.0,0.0,97.32722861251183,69.96207951924832,2.8
HIGHER_LOADING_MEASURED_D30_PROXY,AICOSCIENTIST_PROCESS_SURROGATE,AICOSCIENTIST_PROCESS_SURROGATE,10,0.0,0.9,1.0,1.0,0.0,0.0,90.75128494089705,84.9531812035917,2.5
HIGHER_LOADING_MEASURED_D30_PROXY,DIRECT_BOTORCH_BASELINE,DIRECT_BOTORCH_BASELINE,10,0.2,0.9,1.0,1.0,0.0,0.0,84.38673141450879,81.60707231324312,2.2
HIGHER_LOADING_MEASURED_D30_PROXY,random,RANDOM_BASELINE,10,0.2,0.3,0.6,1.0,15.259156381708317,18.6885735202595,177.7074958883964,111.50186648573279,3.1666666666666665
HIGHER_LOADING_MEASURED_D30_PROXY,aicointel_greedy,AICOSCIENTIST_PROCESS_SURROGATE,10,0.0,0.9,1.0,1.0,0.0,0.0,90.75128494089705,84.9531812035917,2.5
HIGHER_LOADING_MEASURED_D30_PROXY,aicointel_ucb,AICOSCIENTIST_PROCESS_SURROGATE,10,0.2,0.9,1.0,1.0,0.0,0.0,83.12170675004289,90.84364735710615,2.3
