step,strategy,best_seen,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_protocol_id,seed
0,random,686.5946031000001,163.1460657,0,0,,0
1,random,686.5946031000001,163.1460657,0,0,CC_(no_storage)_Co2,0
2,random,686.5946031000001,163.1460657,0,0,Periodic_D_Co2,0
3,random,686.5946031000001,163.1460657,0,0,CC_(no_storage)_Co10,0
4,random,686.5946031000001,163.1460657,0,0,Synthetic_1a_Co10,0
5,random,686.5946031000001,163.1460657,0,0,CC_(50%_storage)_Co10,0
6,random,686.5946031000001,163.1460657,0,0,CC_(100%_storage)_Co2,0
7,random,686.5946031000001,163.1460657,0,0,Periodic_B_Co5,0
8,random,686.5946031000001,163.1460657,0,0,Periodic_C_Co5,0
9,random,686.5946031000001,163.1460657,0,0,Periodic_B_Co2,0
10,random,709.4786504,140.2620184000001,1,1,Synthetic_1a_Co5,0
11,random,709.4786504,140.2620184000001,1,1,Periodic_E_Co10,0
12,random,709.4786504,140.2620184000001,1,1,Drive_City1_Co16,0
13,random,709.4786504,140.2620184000001,1,1,Periodic_C_Co2,0
14,random,709.4786504,140.2620184000001,1,1,Synthetic_2c_Co5,0
15,random,709.4786504,140.2620184000001,1,1,Synthetic_2c_Co10,0
0,greedy,686.5946031000001,163.1460657,0,0,,0
1,greedy,686.5946031000001,163.1460657,0,0,Synthetic_2a_Co10,0
2,greedy,686.5946031000001,163.1460657,0,0,CC_(100%_storage)_Co10,0
3,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,0
4,greedy,849.7406688000001,0.0,1,1,Periodic_A_Co2,0
5,greedy,849.7406688000001,0.0,1,1,Periodic_D_Co2,0
6,greedy,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,0
7,greedy,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,0
8,greedy,849.7406688000001,0.0,1,1,Synthetic_1a_Co5,0
9,greedy,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,0
10,greedy,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,0
11,greedy,849.7406688000001,0.0,1,1,Periodic_C_Co2,0
12,greedy,849.7406688000001,0.0,1,1,Synthetic_2c_Co5,0
13,greedy,849.7406688000001,0.0,1,1,Synthetic_1b_Co16,0
14,greedy,849.7406688000001,0.0,1,1,Periodic_B_Co2,0
15,greedy,849.7406688000001,0.0,1,1,Periodic_E_Co2,0
0,gp_ucb,686.5946031000001,163.1460657,0,0,,0
1,gp_ucb,686.5946031000001,163.1460657,0,0,Synthetic_2a_Co10,0
2,gp_ucb,686.5946031000001,163.1460657,0,0,CC_(100%_storage)_Co10,0
3,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,0
4,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,0
5,gp_ucb,849.7406688000001,0.0,1,1,Periodic_D_Co2,0
6,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,0
