historical_outcome_id,candidate_id,batch,solv_comb_sm,salt_comb_sm,canonical_salt,C_norm_20,conc_salt_1,theor_capacity,amt_electrolyte,de_expansion_status,pool_compatible,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,mol_wt_solv
HIST_0_0_ELEC_5a480,ELEC_5a480b93a6c43b90,0,COCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.27658,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.845301314,-0.995150622,1.062719678,-0.357551944,-0.30871976,0.309455892,0.693324769,0.61307207,-0.780468556,-0.407587973,90.06807956
HIST_0_1_ELEC_bf8ec,ELEC_bf8ecc6ba7ee74f7,0,COCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.66146,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.183255149,-0.948337914,0.615256685,-0.58226942,-1.010186872,-0.522075425,0.496895981,0.301582016,-0.507040042,-0.352331479,118.0993797
HIST_0_2_ELEC_bd783,ELEC_bd7836e84fa940ba,0,COCCOCC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.178386667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.240813652,-0.970769374,0.671104789,-0.607788696,-1.124651424,-0.436616728,0.62882414,0.421934363,-0.667953644,-0.376857272,132.1150298
HIST_0_3_ELEC_bd783,ELEC_bd7836e84fa940ba,0,COCCOCC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.216953333,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.240813652,-0.970769374,0.671104789,-0.607788696,-1.124651424,-0.436616728,0.62882414,0.421934363,-0.667953644,-0.376857272,132.1150298
HIST_0_4_ELEC_92bfc,ELEC_92bfc3cca7a13afe,0,CCOCCOC(C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.026186667,2.2,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.879184033,-1.539457397,0.507075197,-0.111829666,0.800174592,0.133052901,0.926130223,-0.208394845,0.09926732,-0.130341098,146.1306798
HIST_0_5_ELEC_d05e0,ELEC_d05e04a098d55220,0,CCOCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.620446667,2.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.092294722,-1.519333652,-0.056199859,-0.093035869,-0.57201212,-0.583818474,-0.053796147,-0.111618619,-0.235490166,-0.315117402,132.1150298
HIST_0_6_ELEC_d05e0,ELEC_d05e04a098d55220,0,CCOCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.643713333,2.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.092294722,-1.519333652,-0.056199859,-0.093035869,-0.57201212,-0.583818474,-0.053796147,-0.111618619,-0.235490166,-0.315117402,132.1150298
HIST_0_7_ELEC_8482f,ELEC_8482f73230b5a5f0,0,CCCCOCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.28502,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.067892401,-1.253528912,0.602356639,0.775133942,-0.714363578,1.295648251,0.646532478,0.057885571,-0.297491097,-0.275587927,132.1150298
HIST_0_8_ELEC_e7aa9,ELEC_e7aa9c2e925278d9,0,COCCOC1CCCC1,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.46594,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,0.394637021,-0.462672447,0.854415569,-0.416162254,-1.007141145,1.060702369,0.662826956,-0.394235422,-0.689026615,-0.69220093,144.1150298
HIST_0_9_ELEC_a5882,ELEC_a588227d3b624f35,0,CCCCOCCOC(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.566,2.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.075802707,-1.758840188,-0.316575343,0.66784325,-0.912375893,0.097061384,-0.035434319,-0.6026372,0.068839516,-0.249899929,160.1463299
HIST_0_10_ELEC_eb0f4,ELEC_eb0f4a2c4658b7e0,0,COCCOCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.112013333,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.899245337,-1.039674159,1.079794228,-0.35135381,-0.360826913,0.421555364,0.804487743,0.673994873,-0.878265459,-0.450959326,134.0942943
HIST_0_11_ELEC_4dab7,ELEC_4dab775a679de14e,0,FC(F)(F)COCCOCCOCC(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.3669,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.657249054,-1.593830637,0.624975993,-0.502685362,0.783076982,-0.000997661,0.897056988,0.013969926,-0.600441711,-0.517590678,270.0690636
HIST_0_12_ELEC_e1144,ELEC_e114439c70cc1cb7,0,FCCOCCOCCOCCF,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.009353333,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.577399435,-1.639611527,0.670797886,-0.294001918,0.253208818,-0.028375034,0.3491853,0.2832121,-0.829724227,-0.518639269,198.1067508
HIST_0_13_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.652766667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_14_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.770546667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_15_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.700846667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_16_ELEC_ab74d,ELEC_ab74d0edc4a097b4,0,FC(F)(F)COCCOCCOCCOCC(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.477793333,2.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.657249054,-1.593830637,0.624975993,-0.502685362,0.783076982,-0.000997661,0.897056988,0.013969926,-0.600441711,-0.517590678,314.0952783
HIST_0_17_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.75172,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_18_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.68484,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_19_ELEC_6160f,ELEC_6160f064766debeb,0,FCCOCCOCCF,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.2435,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.577399435,-1.639611527,0.670797886,-0.294001918,0.253208818,-0.028375034,0.3491853,0.2832121,-0.829724227,-0.518639269,154.0805361
HIST_0_20_ELEC_e0788,ELEC_e0788648a58379fb,0,COCCOCC(F)(F)C(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.816786667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.190544702,-1.129055644,1.030187241,-0.66846516,-0.151807882,-0.097468222,1.281233276,0.277076031,-0.442167022,-0.403692158,190.0616924
HIST_0_21_ELEC_e0788,ELEC_e0788648a58379fb,0,COCCOCC(F)(F)C(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.691613333,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.190544702,-1.129055644,1.030187241,-0.66846516,-0.151807882,-0.097468222,1.281233276,0.277076031,-0.442167022,-0.403692158,190.0616924
HIST_0_22_ELEC_29756,ELEC_29756482cf010d75,0,COCC(F)(F)C(F)(F)COC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.699386667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.701883622,-1.481805137,1.023019275,-0.732298724,0.376696214,-0.032525502,1.00924756,0.164645846,-0.168576208,-0.320181334,190.0616924
HIST_0_23_ELEC_29756,ELEC_29756482cf010d75,0,COCC(F)(F)C(F)(F)COC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.67744,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.701883622,-1.481805137,1.023019275,-0.732298724,0.376696214,-0.032525502,1.00924756,0.164645846,-0.168576208,-0.320181334,190.0616924
HIST_0_24_ELEC_29756,ELEC_29756482cf010d75,0,COCC(F)(F)C(F)(F)COC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.5874,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.701883622,-1.481805137,1.023019275,-0.732298724,0.376696214,-0.032525502,1.00924756,0.164645846,-0.168576208,-0.320181334,190.0616924
HIST_0_25_ELEC_29756,ELEC_29756482cf010d75,0,COCC(F)(F)C(F)(F)COC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.570646667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.701883622,-1.481805137,1.023019275,-0.732298724,0.376696214,-0.032525502,1.00924756,0.164645846,-0.168576208,-0.320181334,190.0616924
HIST_0_26_ELEC_3f945,ELEC_3f945ea0ddef3fa5,0,COCCOB(OCCOC)OCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.000746667,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.84380391,-0.9347855,1.100088953,-0.357725515,-0.344566374,0.308552625,0.688237019,0.572082135,-0.786093915,-0.396651398,236.1431188
HIST_0_27_ELEC_33579,ELEC_33579bc5a1200c3c,0,COC(=O)OCC(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.05078,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.321120898,0.207300714,1.242264556,-0.436737422,0.54603079,-0.498201107,0.295801405,-0.467213288,-0.074214089,-0.289551939,158.0190787
HIST_0_28_ELEC_a5390,ELEC_a53907bb8c4366fe,0,O=C1OCC(C(F)(F)F)O1,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.00496,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,0.626498926,-1.29698795,1.011451642,-0.283365589,1.109053402,-0.576827595,-0.269631354,-0.386153283,-0.883121443,0.417589841,156.0034286
HIST_0_29_ELEC_1beb2,ELEC_1beb26c498cabfb3,0,FCCOB(OCCF)OCCF,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.387506667,1.0,150.0,40.0,BATCH0_PHYSICAL_CELL,False,-0.510412183,-1.542039984,0.689379069,-0.304561586,0.259265593,-0.117256334,0.238872074,0.181288645,-0.705821189,-0.488305944,200.0831593
HIST_0_30_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.776418667,1.0,150.0,13.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_31_ELEC_b6df2,ELEC_b6df2abe705734f0,0,COCCOCc1ccco1,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.000204,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.687319434,-1.062974786,1.246790938,-0.438504201,-0.324317538,0.383255959,0.514114389,0.764952846,-1.026413003,0.076663495,156.0786442
HIST_0_32_ELEC_d2edc,ELEC_d2edc36a6c8e5cdf,0,COCCOC(C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.276148,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.97014446,-0.968461659,1.178531741,-0.601063218,0.36199984,0.19479595,1.47682235,0.20480579,-0.172282555,-0.167555175,132.1150298
HIST_0_33_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.736065517,1.0,203.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_34_ELEC_3b404,ELEC_3b40493416331b39,0,COCCOCC(F)(F)C(F)(F)F,O=C1O[B-](F)(F)OC1=O.O=S(=O)(F)[N-]S(=O)(=O)F.[Li+].[Li+],O=C1O[B-](F)(F)OC1=O.O=S(=O)(F)[N-]S(=O)(=O)F.[Li+].[Li+],0.000522167,1.0,203.0,13.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_35_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.74303202,1.0,203.0,13.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_36_ELEC_ef358,ELEC_ef35813449967aa2,0,COCCOCC(F)(F)C(F)(F)F,F[B-](F)(F)F.O=S(=O)(F)[N-]S(=O)(=O)F.[Li+].[Li+],F[B-](F)(F)F.O=S(=O)(F)[N-]S(=O)(=O)F.[Li+].[Li+],0.09753202,1.0,203.0,13.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_37_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,9.36e-06,1.0,203.0,13.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_38_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.626674877,1.0,203.0,13.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_39_ELEC_e0788,ELEC_e0788648a58379fb,0,COCCOCC(F)(F)C(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.612006404,1.0,203.0,13.0,BATCH0_PHYSICAL_CELL,False,-1.190544702,-1.129055644,1.030187241,-0.66846516,-0.151807882,-0.097468222,1.281233276,0.277076031,-0.442167022,-0.403692158,190.0616924
HIST_0_40_ELEC_e0788,ELEC_e0788648a58379fb,0,COCCOCC(F)(F)C(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.642517241,1.0,203.0,50.0,BATCH0_PHYSICAL_CELL,False,-1.190544702,-1.129055644,1.030187241,-0.66846516,-0.151807882,-0.097468222,1.281233276,0.277076031,-0.442167022,-0.403692158,190.0616924
HIST_0_41_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.560285714,1.0,161.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_42_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.560284472,1.0,161.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_43_ELEC_7399f,ELEC_7399f18dc88eaeed,0,COCCOCC(F)(F)C(F)(F)F,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.617848447,2.0,161.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.990625864,-1.13011434,1.217521529,-0.578703863,0.178735366,0.279892686,1.365620084,0.46458492,-0.464039538,-0.46136359,208.0522706
HIST_0_44_ELEC_02279,ELEC_022798468585f297,0,CCOCCOCC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.770133333,1.0,150.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.754340888,-1.56614636,0.391263134,0.131681608,0.129454992,0.247712842,0.142632642,0.199871435,-0.508918681,-0.370373895,118.0993797
