feature,importance,rf_importance,xgb_importance
surface_uniformity,0.2552349882235653,0.2552349882235653,0.14520699
si_percent,0.15761609625657969,0.15761609625657969,0.124421395
crack_density,0.10530389445054034,0.10530389445054034,0.070679806
o_percent,0.06721380135703697,0.06721380135703697,0.039725166
si_content,0.05082029073645113,0.05082029073645113,0.04119162
c_o_ratio,0.0485778709040755,0.0485778709040755,0.059499197
si_mxene_ratio,0.041337276307156536,0.041337276307156536,0.060993157
c_percent,0.038120414048216575,0.038120414048216575,0.038962677
si_ti_ratio,0.03762242782804435,0.03762242782804435,0.0347851
ti_percent,0.03733736607686955,0.03733736607686955,0.054286197
porosity_score,0.03727248142361458,0.03727248142361458,0.040813036
carbon_content,0.02490524774040551,0.02490524774040551,0.08743724
impurity_percent,0.018562684301645756,0.018562684301645756,0.01978213
pressing_pressure,0.016898018589400755,0.016898018589400755,0.013843675
drying_temp,0.01643032224983483,0.01643032224983483,0.019869303
particle_size_mean,0.01629256973772374,0.01629256973772374,0.02154013
agglomeration_index,0.01257135986056806,0.01257135986056806,0.012842144
mixing_time,0.010661138494381474,0.010661138494381474,0.027050233
alginate_content,0.005727369918784928,0.005727369918784928,0.04783189
mxene_content,0.001494381495104403,0.001494381495104403,0.039238844
