run_seed,target,strategy,iteration,selected_sample_id,sample_index,Co,Fe,Ni,observed_target,best_observed,global_best,regret,relative_regret,percent_deviation,acquisition_score
0,Coer,random,1,FECONI_783,783,29.1,58.0,12.9,4.12,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,0.0
0,Coer,random,2,FECONI_782,782,31.0,58.0,11.0,4.068099999999999,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,0.2697867137638703
0,Coer,random,3,FECONI_585,585,21.8,37.6,40.6,2.3146999999999998,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,0.04097352393619469
0,Coer,random,4,FECONI_069,69,44.3,5.9,49.9,6.507599999999999,6.507599999999999,10.934000000000001,4.426400000000002,0.4048289738430585,40.48289738430585,0.8132702392002724
0,Coer,random,5,FECONI_015,15,62.8,3.6,33.7,8.9289,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.9127555772777217
0,Coer,random,6,FECONI_463,463,24.4,28.5,47.1,1.6863,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7294965609839984
0,Coer,random,7,FECONI_558,558,19.1,35.4,45.6,1.7925,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.5436249914654229
0,Coer,random,8,FECONI_514,514,47.2,33.1,19.7,3.1210999999999998,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.8158535541215322
0,Coer,random,9,FECONI_861,861,15.7,69.4,14.9,2.4595,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.002738500170148095
0,Coer,random,10,FECONI_361,361,22.9,21.7,55.3,1.6291,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.033585575305464355
0,Coer,random,11,FECONI_790,790,15.6,58.0,26.4,2.4228,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7296554464299441
0,Coer,random,12,FECONI_777,777,7.1,55.8,37.2,2.0536000000000003,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.8631789223498866
0,Coer,random,13,FECONI_161,161,32.4,10.4,57.2,7.7721,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.5414612202490917
0,Coer,random,14,FECONI_075,75,32.7,5.9,61.4,8.498099999999999,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.42268722119765845
0,Coer,random,15,FECONI_275,275,44.5,17.2,38.3,1.9899999999999998,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.028319671145462966
0,Coer,random,16,FECONI_004,4,84.0,3.6,12.5,2.7916,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6706244146936303
0,Coer,random,17,FECONI_116,116,37.4,8.1,54.5,7.8431,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6471895115742501
0,Coer,random,18,FECONI_238,238,41.7,14.9,43.4,3.3023000000000002,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.38367755426188344
0,Coer,random,19,FECONI_567,567,56.5,37.6,5.9,3.4703000000000004,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.997209935789211
0,Coer,random,20,FECONI_740,740,41.0,53.5,5.5,3.9676,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6855419844806947
0,Coer,random,21,FECONI_903,903,5.5,78.5,16.1,2.9238,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6504592762678163
0,Coer,random,22,FECONI_771,771,18.6,55.8,25.6,2.8152999999999997,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.3889214239791038
0,Coer,random,23,FECONI_632,632,33.1,42.2,24.8,3.8216,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.13509650502241122
0,Coer,random,24,FECONI_530,530,16.4,33.1,50.6,1.8079,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.5253543224757259
0,Coer,random,25,FECONI_663,663,22.3,44.4,33.3,3.1867,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.31024187555895566
0,Coer,random,26,FECONI_387,387,40.1,24.0,35.9,1.8047,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.8894878343490003
0,Coer,random,27,FECONI_444,444,61.0,28.5,10.4,3.2436999999999996,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.9340435159562497
0,Coer,random,28,FECONI_487,487,38.7,30.8,30.5,2.3657,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.5715298307297609
0,Coer,random,29,FECONI_327,327,18.3,19.5,62.3,1.9302,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.32186939107594215
0,Coer,random,30,FECONI_661,661,26.2,44.4,29.4,3.3643,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.33791122550713326
0,Coer,random,31,FECONI_545,545,44.1,35.4,20.5,3.4603,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.39161900052816123
0,Coer,random,32,FECONI_300,300,70.3,19.5,10.2,2.2923,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.22715759353337972
0,Coer,random,33,FECONI_821,821,19.1,62.6,18.3,2.7024999999999997,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6231871446860424
0,Coer,random,34,FECONI_045,45,4.9,3.6,91.5,1.2791000000000001,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.8326441476533978
0,Coer,random,35,FECONI_079,79,25.0,5.9,69.1,2.8550999999999997,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7870983074886834
0,Coer,random,36,FECONI_290,290,15.5,17.2,67.3,3.1762,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.8764842308107038
0,Coer,random,37,FECONI_219,219,78.3,14.9,6.7,2.3291,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.05856803480519435
0,Coer,random,38,FECONI_618,618,11.1,39.9,49.1,1.9647999999999999,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.15027946689483906
0,Coer,random,39,FECONI_309,309,53.0,19.5,27.6,1.815,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.450339366649287
0,Coer,random,40,FECONI_826,826,9.5,62.6,28.0,2.3672999999999997,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.23064220899374743
0,Coer,random,41,FECONI_731,731,20.9,51.2,27.9,3.1192,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.05202130106440961
0,Coer,random,42,FECONI_522,522,31.8,33.1,35.1,2.5396,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.19851304450925533
0,Coer,random,43,FECONI_371,371,71.0,24.0,5.0,3.8524000000000003,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.0907530456191219
0,Coer,random,44,FECONI_574,574,43.0,37.6,19.4,3.8562,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.2986961328189226
0,Coer,random,45,FECONI_532,532,12.5,33.1,54.4,1.8367999999999998,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6719948779563594
0,Coer,random,46,FECONI_820,820,21.0,62.6,16.4,2.9646,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.9421131105064978
0,Coer,random,47,FECONI_182,182,71.8,12.7,15.6,2.0271999999999997,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.36511016824482856
0,Coer,random,48,FECONI_587,587,18.0,37.6,44.4,2.1009,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6291081515397092
0,Coer,random,49,FECONI_098,98,72.1,8.1,19.8,7.690900000000001,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.9271545530678674
0,Coer,random,50,FECONI_376,376,61.3,24.0,14.7,2.4514,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.9545904936907372
0,Coer,random,51,FECONI_404,404,7.3,24.0,68.6,1.5909,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.499895813687647
0,Coer,random,52,FECONI_046,46,88.6,5.9,5.5,3.1323,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.6202134520153778
0,Coer,random,53,FECONI_391,391,32.4,24.0,43.6,1.6863,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.9950965052353241
0,Coer,random,54,FECONI_556,556,22.9,35.4,41.7,2.0456,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.4600451393090961
0,Coer,random,55,FECONI_875,875,10.8,71.7,17.6,2.3141,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7577288453082914
0,Coer,random,56,FECONI_372,372,69.0,24.0,7.0,3.2593000000000005,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.5293121601967704
0,Coer,random,57,FECONI_456,456,37.9,28.5,33.6,2.3568000000000002,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7857857007138075
0,Coer,random,58,FECONI_072,72,38.5,5.9,55.6,7.953799999999999,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7344835717887294
0,Coer,random,59,FECONI_380,380,53.6,24.0,22.4,2.1552,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7111428779897498
0,Coer,random,60,FECONI_852,852,11.1,67.1,21.8,2.1582999999999997,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.1149326332809052
0,Coer,random,61,FECONI_859,859,19.6,69.4,11.0,3.0606999999999998,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.7290151170763094
0,Coer,random,62,FECONI_894,894,8.5,76.2,15.3,2.0881,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.9679261899246464
0,Coer,random,63,FECONI_853,853,9.2,67.1,23.7,2.2625,8.9289,10.934000000000001,2.0051000000000005,0.18338211084689962,18.338211084689963,0.014706304965369288
0,Coer,random,64,FECONI_111,111,47.0,8.1,44.9,9.1943,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.9811950400663443
0,Coer,random,65,FECONI_794,794,7.9,58.0,34.1,1.7831,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.9572101796109636
0,Coer,random,66,FECONI_328,328,16.3,19.5,64.2,1.8564,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.972628813822955
0,Coer,random,67,FECONI_138,138,76.7,10.4,12.9,2.5877,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.8899355557205206
0,Coer,random,68,FECONI_349,349,46.1,21.7,32.2,1.7797,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.4799879238078322
0,Coer,random,69,FECONI_753,753,15.9,53.5,30.6,2.6401,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.23237291963930384
0,Coer,random,70,FECONI_819,819,23.0,62.6,14.5,3.5058,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.9235301597834695
0,Coer,random,71,FECONI_733,733,17.0,51.2,31.8,2.6919,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.2661302722922926
0,Coer,random,72,FECONI_392,392,30.5,24.0,45.5,1.6919,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.4427528289745315
0,Coer,random,73,FECONI_493,493,27.1,30.8,42.1,2.0091,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.931017315981155
0,Coer,random,74,FECONI_636,636,25.4,42.2,32.5,3.3497999999999997,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.7320061956565608
0,Coer,random,75,FECONI_036,36,22.3,3.6,74.1,4.4439,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.6143732469489966
0,Coer,random,76,FECONI_459,459,32.1,28.5,39.4,1.8925,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.7192197728267403
0,Coer,random,77,FECONI_025,25,43.5,3.6,52.9,8.6372,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.015991729523571974
0,Coer,random,78,FECONI_087,87,9.6,5.9,84.6,4.6289,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.512758723262078
0,Coer,random,79,FECONI_695,695,5.8,46.7,47.5,1.6671,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.9291042207970062
0,Coer,random,80,FECONI_244,244,30.2,14.9,54.9,5.1494,9.1943,10.934000000000001,1.739700000000001,0.1591092006584965,15.910920065849652,0.8413172796123832
0,Coer,random,81,FECONI_061,61,59.7,5.9,34.4,9.3981,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.0666900087671014
0,Coer,random,82,FECONI_600,600,45.8,39.9,14.4,4.2491,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.4302987319478333
0,Coer,random,83,FECONI_313,313,45.3,19.5,35.3,1.7725000000000002,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.9660620807840702
0,Coer,random,84,FECONI_133,133,4.6,8.1,87.3,3.7579000000000002,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.25886459317093224
0,Coer,random,85,FECONI_516,516,43.3,33.1,23.6,2.9085,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.24167571409434496
0,Coer,random,86,FECONI_194,194,48.6,12.7,38.7,6.0302,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.22586942841732438
0,Coer,random,87,FECONI_816,816,28.7,62.6,8.7,3.9741,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.1245547058352835
0,Coer,random,88,FECONI_714,714,12.4,49.0,38.7,2.1729,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.5861230648127328
0,Coer,random,89,FECONI_263,263,67.6,17.2,15.2,1.9035,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.5540905021732678
0,Coer,random,90,FECONI_701,701,37.4,49.0,13.6,4.3971,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.5604759520061858
0,Coer,random,91,FECONI_743,743,35.2,53.5,11.3,4.3463,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.2884212144312105
0,Coer,random,92,FECONI_416,416,50.6,26.3,23.2,2.5842,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.8181209709709104
0,Coer,random,93,FECONI_378,378,57.5,24.0,18.5,2.3205999999999998,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.6265064624197535
0,Coer,random,94,FECONI_653,653,41.6,44.4,14.0,4.2768999999999995,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.3694044110916809
0,Coer,random,95,FECONI_885,885,9.6,73.9,16.4,2.2846,9.3981,10.934000000000001,1.5359000000000016,0.14047009328699483,14.047009328699483,0.5526115105212872
0,Coer,random,96,FECONI_211,211,15.9,12.7,71.5,10.143,10.143,10.934000000000001,0.7910000000000004,0.07234314980793857,7.234314980793857,0.84829120827506
0,Coer,random,97,FECONI_544,544,46.1,35.4,18.6,3.489,10.143,10.934000000000001,0.7910000000000004,0.07234314980793857,7.234314980793857,0.14547353818653175
0,Coer,random,98,FECONI_751,751,19.7,53.5,26.8,2.9713000000000003,10.143,10.934000000000001,0.7910000000000004,0.07234314980793857,7.234314980793857,0.909958961662297
0,Coer,random,99,FECONI_368,368,9.4,21.7,68.8,1.5680999999999998,10.143,10.934000000000001,0.7910000000000004,0.07234314980793857,7.234314980793857,0.043066888568204176
0,Coer,random,100,FECONI_543,543,48.0,35.4,16.6,3.3521,10.143,10.934000000000001,0.7910000000000004,0.07234314980793857,7.234314980793857,0.41538403737122465
0,Coer,greedy,1,FECONI_783,783,29.1,58.0,12.9,4.12,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,0.0
0,Coer,greedy,2,FECONI_000,0,91.7,3.6,4.7,2.1712,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,4.12
0,Coer,greedy,3,FECONI_782,782,31.0,58.0,11.0,4.068099999999999,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,3.876347592195806
0,Coer,greedy,4,FECONI_812,812,6.7,60.3,33.0,2.1375,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,4.4252064710744055
0,Coer,greedy,5,FECONI_784,784,27.1,58.0,14.8,4.07,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,4.097866865143186
0,Coer,greedy,6,FECONI_766,766,28.3,55.8,16.0,4.1132,4.12,10.934000000000001,6.814000000000001,0.62319370770075,62.319370770075,4.078149876213361
0,Coer,greedy,7,FECONI_765,765,30.2,55.8,14.0,4.2818,4.2818,10.934000000000001,6.6522000000000014,0.6083958295225902,60.83958295225902,4.10128490607997
0,Coer,greedy,8,FECONI_744,744,33.2,53.5,13.3,4.4649,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.440081437379848
0,Coer,greedy,9,FECONI_724,724,34.4,51.2,14.4,4.3772,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.42154772707359
0,Coer,greedy,10,FECONI_743,743,35.2,53.5,11.3,4.3463,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.4153938833961215
0,Coer,greedy,11,FECONI_745,745,31.3,53.5,15.2,4.2305,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.438602688178891
0,Coer,greedy,12,FECONI_764,764,32.1,55.8,12.1,4.3591,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.362100707147981
0,Coer,greedy,13,FECONI_763,763,34.0,55.8,10.2,4.2336,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.275883381685772
0,Coer,greedy,14,FECONI_723,723,36.3,51.2,12.5,4.3966,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.283150286185461
0,Coer,greedy,15,FECONI_701,701,37.4,49.0,13.6,4.3971,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.4291025098205346
0,Coer,greedy,16,FECONI_700,700,39.3,49.0,11.7,4.3043,4.4649,10.934000000000001,6.469100000000001,0.5916498993963784,59.164989939637834,4.363767106231006
0,Coer,greedy,17,FECONI_702,702,35.5,49.0,15.6,4.4951,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.34561143162029
0,Coer,greedy,18,FECONI_680,680,34.7,46.7,18.6,4.1795,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.543347076580751
0,Coer,greedy,19,FECONI_001,1,89.7,3.6,6.7,2.2079,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.039199999999999
0,Coer,greedy,20,FECONI_703,703,33.6,49.0,17.5,4.3887,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.346454921530136
0,Coer,greedy,21,FECONI_722,722,38.2,51.2,10.5,4.2661,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.310488172582206
0,Coer,greedy,22,FECONI_699,699,41.3,49.0,9.8,4.3624,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.252888321439037
0,Coer,greedy,23,FECONI_696,696,47.1,49.0,4.0,4.0096,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.527794337221289
0,Coer,greedy,24,FECONI_698,698,43.2,49.0,7.8,4.231,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.36626829185287
0,Coer,greedy,25,FECONI_676,676,42.4,46.7,10.9,4.2447,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.23081244922975
0,Coer,greedy,26,FECONI_677,677,40.5,46.7,12.8,4.172,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.23454426740027
0,Coer,greedy,27,FECONI_675,675,44.3,46.7,9.0,4.1938,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.201427497274892
0,Coer,greedy,28,FECONI_725,725,32.4,51.2,16.3,4.2744,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.185592269124283
0,Coer,greedy,29,FECONI_704,704,31.6,49.0,19.4,4.2966999999999995,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.18211081200871
0,Coer,greedy,30,FECONI_705,705,29.7,49.0,21.3,4.0786,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.202922063415704
0,Coer,greedy,31,FECONI_681,681,32.8,46.7,20.6,4.132,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.177588529120002
0,Coer,greedy,32,FECONI_721,721,40.1,51.2,8.6,4.2006,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.1744554256123525
0,Coer,greedy,33,FECONI_679,679,36.6,46.7,16.7,4.3249,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.163897285984791
0,Coer,greedy,34,FECONI_678,678,38.5,46.7,14.8,4.4581,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.242012504918771
0,Coer,greedy,35,FECONI_655,655,37.7,44.4,17.8,4.1764,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.229092229918917
0,Coer,greedy,36,FECONI_720,720,42.1,51.2,6.7,4.0374,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.163988717396219
0,Coer,greedy,37,FECONI_742,742,37.1,53.5,9.4,4.2921,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.144826045306985
0,Coer,greedy,38,FECONI_741,741,39.0,53.5,7.5,4.0988,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.214315223880594
0,Coer,greedy,39,FECONI_654,654,39.7,44.4,15.9,4.4468000000000005,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.128739956252634
0,Coer,greedy,40,FECONI_627,627,42.7,42.2,15.1,4.2826,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.570644971972615
0,Coer,greedy,41,FECONI_653,653,41.6,44.4,14.0,4.2768999999999995,4.4951,10.934000000000001,6.438900000000001,0.5888878726906897,58.88878726906896,4.41357300823377
