points,image,seconds,method,particle_area,crack_area,crack_count,mean_width
8,NCM622_CYCLED_453.jpg,12.66,SAM vit_b + morphology + Otsu fill,0.1319,0.00066,2,4.21
8,NCM622_CYCLED_454.jpg,5.24,SAM vit_b + morphology + Otsu fill,0.1506,0.00034,1,3.82
8,NCM622_CYCLED_455.jpg,5.59,SAM vit_b + morphology + Otsu fill,0.1783,0.0013,4,4.31
12,NCM622_CYCLED_453.jpg,8.21,SAM vit_b + morphology + Otsu fill,0.349,0.00138,3,4.74
12,NCM622_CYCLED_454.jpg,7.25,SAM vit_b + morphology + Otsu fill,0.4103,0.00212,5,4.51
12,NCM622_CYCLED_455.jpg,13.12,SAM vit_b + morphology + Otsu fill,0.3539,0.00256,7,4.65
16,NCM622_CYCLED_453.jpg,22.32,SAM vit_b + morphology refine,0.3378,0.00156,4,4.7
16,NCM622_CYCLED_454.jpg,27.47,SAM vit_b + morphology refine,0.3324,0.0003,1,5.19
16,NCM622_CYCLED_455.jpg,17.53,SAM vit_b + morphology refine,0.3403,0.0015,4,4.78
24,NCM622_CYCLED_453.jpg,33.69,SAM vit_b + morphology refine,0.6863,0.00442,12,4.44
24,NCM622_CYCLED_454.jpg,31.82,SAM vit_b + morphology refine,0.6389,0.00461,12,4.37
24,NCM622_CYCLED_455.jpg,34.02,SAM vit_b + morphology refine,0.7836,0.00834,23,4.48
