feature,importance
delta_q_var,0.24096975963839634
delta_q_min,0.21742067429529918
delta_q_mean,0.2093262505529607
ir_2,0.11085777220628064
charge_time_mean,0.0593360522608748
charge_time_diff_100_2,0.04463098178252549
delta_q_skew,0.02482358857703104
t_max_max,0.021998296643133314
delta_q_kurt,0.015237738845427477
t_avg_mean,0.012250230967157591
q_max_diff,0.00830740849768919
t_min_min,0.007719732383159164
q_discharge_100,0.00619299811751046
ir_diff_100_2,0.005741180418901564
ir_mean,0.004965193584212453
ir_100,0.004384129840273152
q_intercept,0.0023073942720880937
q_discharge_2,0.0021163934331248123
q_diff_100_2,0.0007421299289526336
q_slope,0.0006720937550019992
