experiment_id,condition_no,electrode_id,loading_regime,target_coating_weight_gsm,roll_temperature_c,target_density_g_cm3,target_porosity_pct,roll_gap_um,number_of_passes,pre_calendering_thickness_um,pre_calendering_coating_weight_gsm,pre_calendering_density_g_cm3,pre_calendering_porosity_pct,pre_calendering_tensile_strength_kpa,calendered_thickness_um,calendered_coating_weight_gsm,calendered_density_g_cm3,calendered_porosity_pct,calendered_tensile_strength_kpa,rate_performance_5c_over_0_2c_mean,rate_performance_5c_over_0_2c_std,discharge_capacity_0_2c_mah_g_mean,discharge_capacity_0_2c_mah_g_std,discharge_capacity_5c_mah_g_mean,discharge_capacity_5c_mah_g_std,first_cycle_loss_pct_mean,replicate_cells
EXP_01,1,NEX_CAT_240_L_85_P,LOW,122.48,85.0,2.7,39.44,475.0,2,52.66,120.54,2.29,48.56,728.62,46.16666667,120.3488372,2.607580815,41.40267832,685.06667,0.766066964582094,0.005607340706760266,412.6190657614364,1.201222494669866,123.83382808138386,1.0493924379123811,,"['DD001', 'DD002', 'DD056']"
EXP_02,2,NEX_CAT_240_L_85_M,LOW,122.48,85.0,2.95,33.83,462.0,1,52.5,120.93,2.3,48.23,728.62,41.66666667,118.5077519,2.844440543,36.0799878,619.14667,0.7775115874242916,0.0028261186000789248,448.95100274961845,1.0658063568507576,126.54645060041757,0.6607466430422916,9.3403814378822,"['DD032', 'DD033', 'DD034']"
EXP_03,3,NEX_CAT_240_L_85_D,LOW,122.48,85.0,3.2,28.22,458.0,3,52.5,120.54,2.3,48.39,728.62,39.16666667,118.6046512,3.028514874,31.94348597,777.22667,0.7947399912874302,0.015812657770145445,481.0749122880479,4.683475911954029,130.05073653545614,4.593650175986462,9.675147577559146,"['DD020', 'DD021', 'DD022']"
EXP_04,4,NEX_CAT_240_L_120_P,LOW,122.48,120.0,2.7,39.44,400.0,1,52.83,123.2558,2.333045,47.57202,728.62,45.83333333,122.9651163,2.683560072,39.69527927,683.73333,0.7388540816692358,0.008419358341190472,414.6466816842298,3.1256910484320226,120.10177285110841,2.101439493371199,9.233319337807737,"['DD013', 'DD015', 'DD057']"
EXP_05,5,NEX_CAT_240_L_120_M,LOW,122.48,120.0,2.95,33.83,395.0,1,52.8,124.379845,2.35,47.05,728.62,42.0,120.9302326,2.881897028,35.23826903,741.6,0.7677124906140058,0.006575132853739054,453.68813842822846,4.284656082542461,125.24314772738404,1.6363010119097545,14.788683112505561,"['DD035', 'DD036', 'DD037']"
EXP_06,6,NEX_CAT_240_L_120_D,LOW,122.48,120.0,3.2,28.22,390.0,2,51.83,122.9651,2.373077,46.67242,728.62,38.5,118.7984496,3.086325309,30.64437507,758.56,0.7884053971541913,0.003944614263350045,492.1345545000358,9.586658282091383,128.17409163504894,1.0454133238385828,14.307540803212868,"['DD038', 'DD039', 'DD040']"
EXP_07,7,NEX_CAT_240_L_145_P,LOW,122.48,145.0,2.7,39.44,460.0,1,53.2,123.68,2.32,47.75,728.62,45.83333333,123.5465116,2.697639911,39.3788784,653.6,0.6876224052265055,0.009863106582028408,403.51129876446606,4.883081302191035,110.43562705913551,2.0429100851836046,13.05374797833739,"['DD004', 'DD005', 'DD006']"
EXP_08,8,NEX_CAT_240_L_145_M,LOW,122.48,145.0,2.95,33.83,450.0,1,52.83,122.19,2.31,48.02,728.62,42.0,121.124031,2.884456,35.18076406,780.96,0.7776678060062796,0.009989983734119301,456.8475550463656,4.138530020419577,125.76796342648522,2.1446416056435833,9.246153512471759,"['DD041', 'DD042', 'DD043']"
EXP_09,9,NEX_CAT_240_L_145_D,LOW,122.48,145.0,3.2,28.22,446.0,1,53.0,123.91,2.34,47.46,728.62,39.66666667,122.4806202,3.087865902,30.60975501,745.65333,0.7737090249445218,0.003693442118558069,494.7620982130159,2.74467430390752,125.56991657621397,0.7889458422995332,9.231269025114921,"['DD023', 'DD024', 'DD025']"
EXP_10,10,NEX_CAT_240_H_85_P,HIGH,182.73,85.0,2.7,39.44,495.0,1,75.33,181.49,2.41,45.85,683.25,67.83333333,180.1356589,2.655952298,40.3156787,660.05333,0.09878845328641378,0.061590684770615474,415.83468220522013,4.047816882379181,15.832899693680352,12.061679841173653,9.550358812970641,"['DD059', 'DD027', 'DD028']"
EXP_11,11,NEX_CAT_240_H_85_M,HIGH,182.73,85.0,2.95,33.83,476.0,1,74.66,181.2,2.43,45.4,683.25,61.5,179.2635659,2.915098652,34.49216513,592.64,0.4860431398041867,0.03658711143070259,459.59292969655627,1.8375873180127382,78.85268215081756,7.226442605935856,8.754498840297162,"['DD053', 'DD055', 'DD058']"
