cell_id,experiment_id,condition_no,electrode_id,replicate_index,loading_regime,target_coating_weight_gsm,roll_temperature_c,target_density_g_cm3,target_porosity_pct,roll_gap_um,number_of_passes,active_mass_g,rate_performance_5c_over_0_2c,discharge_capacity_0_2c_mah_g,discharge_capacity_5c_mah_g,first_cycle_loss_pct,cycle_50_capacity_c2_mah,cycle_50_retention_pct
DD001,EXP_01,1,NEX_CAT_240_L_85_P,1,LOW,122.48,85.0,2.7,39.44,475.0,2,0.019737792,0.7725476512805216,411.37419674197565,124.58603289441265,,2.99977,98.19053697975482
DD002,EXP_01,1,NEX_CAT_240_L_85_P,2,LOW,122.48,85.0,2.7,39.44,475.0,2,0.019753152000000003,0.7667843894979701,413.7712750582141,124.28044399129975,9.086438153390263,3.02784,98.27331031080415
DD056,EXP_01,1,NEX_CAT_240_L_85_P,3,LOW,122.48,85.0,2.7,39.44,475.0,2,0.020199936,0.7588688529677902,412.7117254841194,122.63500735843914,9.54000430466725,3.07612996936639,98.30743714247103
DD032,EXP_02,2,NEX_CAT_240_L_85_M,1,LOW,122.48,85.0,2.95,33.83,462.0,1,0.019346112000000002,0.7773010255633033,447.98155619227,126.89152631805294,8.550986235609969,2.98021378539058,98.08906767763396
DD033,EXP_02,2,NEX_CAT_240_L_85_M,2,LOW,122.48,85.0,2.95,33.83,462.0,1,0.019463615999999996,0.7810733358129851,448.7791643635288,126.96321587931043,9.067909758742632,2.97951835660875,98.10751545503649
DD034,EXP_02,2,NEX_CAT_240_L_85_M,3,LOW,122.48,85.0,2.95,33.83,462.0,1,0.019529088,0.7741604008965864,450.09228769305645,125.78460960388935,10.402248319294005,2.99709420614818,98.21837797173124
DD020,EXP_03,3,NEX_CAT_240_L_85_D,1,LOW,122.48,85.0,3.2,28.22,458.0,3,0.019135391999999998,0.8170347003154574,485.157308507645,135.35129042561553,11.065573770491799,2.84733153411805,94.3725665585225
DD021,EXP_03,3,NEX_CAT_240_L_85_D,2,LOW,122.48,85.0,3.2,28.22,458.0,3,0.019190688,0.785099182707105,475.9619919500005,127.22806967629299,9.354613760928387,2.87225565030998,97.33399887117429
DD022,EXP_03,3,NEX_CAT_240_L_85_D,3,LOW,122.48,85.0,3.2,28.22,458.0,3,0.019311455999999998,0.7820860908397282,482.1054364064982,127.57284950445995,8.605255201257256,2.96575394759495,98.06822272618331
DD013,EXP_04,4,NEX_CAT_240_L_120_P,1,LOW,122.48,120.0,2.7,39.44,400.0,1,0.020408543999999997,0.7503180255722243,411.4121152153204,122.23663334336837,9.102939356516027,3.06784750812709,97.84979794631516
DD015,EXP_04,4,NEX_CAT_240_L_120_P,2,LOW,122.48,120.0,2.7,39.44,400.0,1,0.020555712,0.7359081256828631,414.87719552584963,120.0332549901458,9.03237786628932,3.15525726126558,97.88697100771908
DD057,EXP_04,4,NEX_CAT_240_L_120_P,3,LOW,122.48,120.0,2.7,39.44,400.0,1,0.01999536,0.7303360937526202,417.6507343115193,118.035430219811,9.564640790617862,3.04828950927919,98.5629162518171
DD035,EXP_05,5,NEX_CAT_240_L_120_M,1,LOW,122.48,120.0,2.95,33.83,395.0,1,0.019968768,0.7655306423225288,448.75146308052143,124.239462344397,9.109957549723024,3.06880561489151,98.44510474986126
DD036,EXP_05,5,NEX_CAT_240_L_120_M,2,LOW,122.48,120.0,2.95,33.83,395.0,1,0.019657248000000002,0.7766314548459481,456.43968120297956,127.13133191380602,26.174252853148015,2.95964969183398,96.48144993215139
DD037,EXP_05,5,NEX_CAT_240_L_120_M,3,LOW,122.48,120.0,2.95,33.83,395.0,1,0.019665984,0.7609753746735407,455.8732710011844,124.35864892394908,9.081838934645647,3.02859578460156,98.03825315252173
DD038,EXP_06,6,NEX_CAT_240_L_120_D,1,LOW,122.48,120.0,3.2,28.22,390.0,2,0.019898015999999998,0.7857376910543891,481.21440527620587,127.42778224723511,8.704483175555533,3.04418663289626,98.20876754063333
DD039,EXP_06,6,NEX_CAT_240_L_120_D,2,LOW,122.48,120.0,3.2,28.22,390.0,2,0.019367711999999995,0.7939821832289875,496.0240328192782,129.36892494064352,26.039133928859627,2.8986064725093,96.38867053567022
DD040,EXP_06,6,NEX_CAT_240_L_120_D,3,LOW,122.48,120.0,3.2,28.22,390.0,2,0.019530144,0.7854963171791973,499.16522540462324,127.72556771726825,8.179005305223452,2.98827678768151,97.87735842422566
DD004,EXP_07,7,NEX_CAT_240_L_145_P,1,LOW,122.48,145.0,2.7,39.44,460.0,1,0.020097407999999994,0.6990532515408954,408.5628471723406,112.40354321717341,9.373913700357084,3.04054,98.05315213921075
DD005,EXP_07,7,NEX_CAT_240_L_145_P,2,LOW,122.48,145.0,2.7,39.44,460.0,1,0.019869503999999996,0.6749843292847721,403.15482790860693,108.3251872393214,10.662093123809269,3.00697,98.36600238148202
DD006,EXP_07,7,NEX_CAT_240_L_145_P,3,LOW,122.48,145.0,2.7,39.44,460.0,1,0.020077344,0.6888296348538492,398.81622121245067,110.5781507209117,19.125237110845816,3.04956,98.35989433655548
DD041,EXP_08,8,NEX_CAT_240_L_145_M,1,LOW,122.48,145.0,2.95,33.83,450.0,1,0.019763904,0.7635514719722382,452.75432684467864,123.3119418106868,9.66395822808771,3.02381336892088,98.51299795370325
DD042,EXP_08,8,NEX_CAT_240_L_145_M,2,LOW,122.48,145.0,2.95,33.83,450.0,1,0.019952927999999998,0.7852224582612204,456.7583922635903,126.72128170862945,9.304674485037056,3.05527792184545,98.56875407595719
DD043,EXP_08,8,NEX_CAT_240_L_145_M,3,LOW,122.48,145.0,2.95,33.83,450.0,1,0.020027231999999996,0.7842294877853806,461.0299460308278,127.27066676013943,8.76982782429051,3.08122791559649,98.46446475513308
DD023,EXP_09,9,NEX_CAT_240_L_145_D,1,LOW,122.48,145.0,3.2,28.22,446.0,1,0.020313984000000004,0.7789273101989866,491.6585559101482,126.42213511638089,8.523259125072592,3.11083435656805,98.19770853526649
DD024,EXP_09,9,NEX_CAT_240_L_145_D,2,LOW,122.48,145.0,3.2,28.22,446.0,1,0.020490240000000003,0.7712983672713384,496.869977191461,125.42260510369812,8.362368488063654,3.13524499865015,97.9011011432356
DD025,EXP_09,9,NEX_CAT_240_L_145_D,3,LOW,122.48,145.0,3.2,28.22,446.0,1,0.019998816,0.7709013973632403,495.7577615374386,124.8650095085629,10.808179462208523,3.04656782527638,97.84879780658531
DD059,EXP_10,10,NEX_CAT_240_H_85_P,1,HIGH,182.73,85.0,2.7,39.44,495.0,1,0.029598432000000004,0.17945676345113126,411.1635864866184,28.719287562260053,10.051214497775462,4.27408589291267,94.0767146152794
DD027,EXP_10,10,NEX_CAT_240_H_85_P,2,HIGH,182.73,85.0,2.7,39.44,495.0,1,0.029968608000000004,0.08690753136211087,418.02715629327315,13.965716725982066,9.142194598665599,3.29909274239553,71.6049248616759
DD028,EXP_10,10,NEX_CAT_240_H_85_P,3,HIGH,182.73,85.0,2.7,39.44,495.0,1,0.02958672,0.030001065045999205,418.3133038357689,4.813694792798931,9.457667342470867,2.81766848388897,62.72746517380341
